SWIR PFM TEST   Pixel #1023
      Band #4         Band #5         Band #6         Band #7         Band #8         Band #9      
   Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm    Wavlen  Norm
    (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp     (um)   Resp
   1.6775 0.9380   2.1900 0.2300   2.2275 0.5160   2.2750 0.9590   2.3300 0.9470   2.3875 0.9040
   1.6800 0.9340   2.1925 0.1720   2.2300 0.3280   2.2775 0.8690   2.3325 0.9620   2.3900 0.9060
   1.6825 0.9300   2.1950 0.1070   2.2325 0.2380   2.2800 0.7990   2.3350 0.9770   2.3925 0.9310
   1.6850 0.9360   2.1975 0.0700   2.2350 0.1640   2.2825 0.7050   2.3375 0.9920   2.3950 0.9270
   1.6875 0.9420   2.2000 0.0610   2.2375 0.1070   2.2850 0.6230   2.3400 1.0000   2.3975 0.9220
   1.6900 0.9140   2.2025 0.0498   2.2400 0.0570   2.2875 0.5000   2.3425 0.9800   2.4000 0.9610
   1.6925 0.8970   2.2050 0.0385   2.2425 0.0468   2.2900 0.3930   2.3450 0.9960   2.4025 1.0000
   1.6950 0.7980   2.2075 0.0273   2.2450 0.0365   2.2925 0.3030   2.3475 0.9920   2.4050 0.9800
   1.6975 0.7000   2.2100 0.0160   2.2475 0.0263   2.2950 0.2420   2.3500 0.9960   2.4075 0.9590
   1.7000 0.5970   2.2125 0.0140   2.2500 0.0160   2.2975 0.1760   2.3525 0.9550   2.4100 0.9270
   1.7025 0.4610   2.2150 0.0120   2.2525 0.0140   2.3000 0.1270   2.3550 0.9630   2.4125 0.8940
   1.7050 0.3700   2.2175 0.0100   2.2550 0.0120   2.3025 0.1060   2.3575 0.9060   2.4150 0.8690
   1.7075 0.2630   2.2200 0.0080   2.2575 0.0100   2.3050 0.0840   2.3600 0.8370   2.4175 0.8330
   1.7100 0.1730   2.2225 0.0070   2.2600 0.0080   2.3075 0.0625   2.3625 0.7840   2.4200 0.8160
   1.7200 0.0450   2.2250 0.0060   2.2625 0.0070   2.3100 0.0410   2.3650 0.7020   2.4225 0.7670
   1.7300 0.0160   2.2275 0.0050   2.2650 0.0060   2.3125 0.0370   2.3675 0.5800   2.4250 0.7020
   1.7400 0.0040   2.2300 0.0040   2.2675 0.0050   2.3150 0.0330   2.3700 0.4410   2.4275 0.6610
   1.7500 0.0010   2.2345 0.0037   2.2700 0.0040   2.3175 0.0290   2.3725 0.3430   2.4300 0.5630
   1.7680 0.0002   2.2390 0.0033   2.2765 0.0030   2.3200 0.0250   2.3750 0.2780   2.4325 0.4240
   1.8160 0.0000   2.2435 0.0030   2.2830 0.0021   2.3260 0.0209   2.3775 0.2200   2.4350 0.3430
   1.8640 0.0000   2.2480 0.0027   2.2895 0.0012   2.3320 0.0168   2.3800 0.1670   2.4375 0.2610
   1.9120 0.0000   2.2600 0.0020   2.2960 0.0002   2.3380 0.0127   2.3900 0.0570   2.4400 0.1920
   1.9600 0.0000   2.2720 0.0013   2.3440 0.0000   2.3440 0.0086   2.4000 0.0200   2.4500 0.0490
   2.0080 0.0000   2.2840 0.0007   2.3920 0.0000   2.3560 0.0065   2.4100 0.0120   2.4600 0.0160
   2.0560 0.0000   2.2960 0.0000   2.4400 0.0000   2.3680 0.0044   2.4200 0.0080   2.4700 0.0080
   2.1040 0.0000   2.3440 0.0000   2.4880 0.0000   2.3800 0.0022   2.4300 0.0040   2.4800 0.0040
   2.1520 0.0000   2.3920 0.0000   2.5360 0.0000   2.3920 0.0001   2.4400 0.0012   2.4880 0.0088
   2.2000 0.0000   2.4400 0.0000   2.5840 0.0000   2.4400 0.0000   2.4880 0.0001   2.5360 0.0001
   2.2480 0.0000   2.4880 0.0000   2.6320 0.0000   2.4880 0.0000   2.5360 0.0000   2.5840 0.0000
   2.2960 0.0000   2.5360 0.0000   2.6800 0.0000   2.5360 0.0000   2.5840 0.0000   2.6320 0.0000
   2.3440 0.0000   2.5840 0.0000   2.7280 0.0000   2.5840 0.0000   2.6320 0.0000   2.6800 0.0000
   2.3920 0.0000   2.6320 0.0000   2.7760 0.0000   2.6320 0.0000   2.6800 0.0000   2.7280 0.0000
   2.4400 0.0000   2.6800 0.0000   2.8240 0.0000   2.6800 0.0000   2.7280 0.0000   2.7760 0.0000
   2.4880 0.0000   2.7280 0.0000   2.8720 0.0000   2.7280 0.0000   2.7760 0.0000   2.8240 0.0000
   2.5360 0.0000   2.7760 0.0000   2.9200 0.0000   2.7760 0.0000   2.8240 0.0000   2.8720 0.0000
   2.5840 0.0000   2.8240 0.0000   2.9680 0.0000   2.8240 0.0000   2.8720 0.0000   2.9200 0.0000
