Wavelength,(um),Normalized,RSF
10,-0.0004,,
10.02,0.0001,,
10.04,-0.0004,,
10.06,-0.0003,,
10.08,0.0003,,
10.1,0.0008,,
10.12,-0.0005,,
10.14,-0.0003,,
10.16,0,,
10.18,-0.0004,,
10.2,0.0005,,
10.22,-0.0001,,
10.24,0.0001,,
10.26,-0.0003,,
10.28,0.0005,,
10.3,-0.0006,,
10.32,0.0003,,
10.34,-0.0005,,
10.36,0.0002,,
10.38,0.0002,,
10.4,-0.0001,,
10.42,-0.0002,,
10.44,-0.0006,,
10.46,0,,
10.48,-0.0005,,
10.5,0.0006,,
10.52,-0.0002,,
10.54,-0.0004,,
10.56,-0.0002,,
10.58,0.0004,,
10.6,0.0002,,
10.62,-0.0003,,
10.64,-0.0003,,
10.66,0.0007,,
10.68,0.0002,,
10.7,-0.0006,,
10.72,-0.0006,,
10.74,0.0004,,
10.76,-0.0004,,
10.78,0,,
10.8,0.0004,,
10.82,-0.0002,,
10.84,0.0006,,
10.86,-0.0003,,
10.88,0.0003,,
10.9,-0.0002,,
10.92,0.0003,,
10.94,0.0006,,
10.96,0.0005,,
10.98,-0.0001,,
11,-0.0002,,
11.02,0,,
11.04,0.0012,,
11.06,-0.0006,,
11.08,0.0002,,
11.1,0.0007,,
11.12,-0.0002,,
11.14,0.0007,,
11.16,-0.0004,,
11.18,0.0004,,
11.2,0.0003,,
11.22,-0.0002,,
11.24,0.0005,,
11.26,-0.0001,,
11.28,0.0003,,
11.3,0.001,,
11.32,0.002,,
11.34,0.0037,,
11.36,0.0079,,
11.38,0.0157,,
11.4,0.0288,,
11.42,0.0523,,
11.44,0.0893,,
11.46,0.1532,,
11.48,0.2465,,
11.5,0.3617,,
11.52,0.4831,,
11.54,0.5885,,
11.56,0.6767,,
11.58,0.7348,,
11.6,0.7785,,
11.62,0.7985,,
11.64,0.8247,,
11.66,0.8331,,
11.68,0.8539,,
11.7,0.8694,,
11.72,0.8847,,
11.74,0.9035,,
11.76,0.9279,,
11.78,0.9314,,
11.8,0.9371,,
11.82,0.9572,,
11.84,0.9803,,
11.86,0.9778,,
11.88,0.9909,,
11.9,0.9798,,
11.92,0.9945,,
11.94,0.9956,,
11.96,0.9983,,
11.98,1,,
12,0.9915,,
12.02,0.9848,,
12.04,0.9844,,
12.06,0.9509,,
12.08,0.9353,,
12.1,0.9295,,
12.12,0.908,,
12.14,0.9082,,
12.16,0.8938,,
12.18,0.8833,,
12.2,0.8871,,
12.22,0.8641,,
12.24,0.8833,,
12.26,0.8927,,
12.28,0.8995,,
12.3,0.9159,,
12.32,0.9314,,
12.34,0.9425,,
12.36,0.9416,,
12.38,0.9234,,
12.4,0.9656,,
12.42,0.9537,,
12.44,0.9764,,
12.46,0.9388,,
12.48,0.8269,,
12.5,0.6353,,
12.52,0.4287,,
12.54,0.2633,,
12.56,0.1492,,
12.58,0.0868,,
12.6,0.0497,,
12.62,0.028,,
12.64,0.0174,,
12.66,0.0102,,
12.68,0.0056,,
12.7,0.0033,,
12.72,0.0014,,
12.74,0.0006,,
12.76,-0.0006,,
12.78,-0.0004,,
12.8,-0.0007,,
12.82,0.0019,,
12.84,0.0029,,
12.86,0.0004,,
12.88,0.0012,,
12.9,0.0003,,
12.92,-0.0011,,
12.94,0.0012,,
12.96,-0.0006,,
12.98,0.0017,,
13,0.0016,,
13.02,0.0014,,
13.04,-0.0015,,
13.06,0.0005,,
13.08,0.0005,,
13.1,0.0008,,
13.12,0.0021,,
13.14,0.0004,,
13.16,-0.0001,,
13.18,0.0007,,
13.2,0,,
13.22,0.0003,,
13.24,-0.0005,,
13.26,0.0008,,
13.28,0.0027,,
13.3,-0.0003,,
13.32,0.0012,,
13.34,0.002,,
13.36,0.0001,,
13.38,0.0003,,
13.4,-0.0001,,
13.42,0.0031,,
13.44,0,,
13.46,0.0001,,
13.48,-0.0012,,
13.5,0.0051,,
13.52,-0.0016,,
13.54,0.0021,,
13.56,0.0017,,
13.58,-0.0009,,
13.6,-0.0001,,
13.62,-0.001,,
13.64,-0.0008,,
13.66,0.0005,,
13.68,-0.0016,,
13.7,-0.0011,,
13.72,0.0033,,
13.74,-0.0009,,
13.76,0,,
13.78,0.0007,,
13.8,-0.0007,,
13.82,-0.0005,,
13.84,0.002,,
13.86,0.0003,,
13.88,0.0002,,
13.9,-0.0011,,
13.92,0.0041,,
13.94,-0.0013,,
13.96,0.0008,,
13.98,0.0008,,
14,-0.0013,,
