%DAWG J2 VIIRS RSR Release V1 Band I5 S0
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
 I5      1     0      3404.0050000       -0.0002038        0.0081617     0.150     1     4402677
 I5      1     0      3460.0350000        0.0000521       -0.0406615     0.150     1     4402677
 I5      1     0      3516.1050000        0.0000182        0.0598626     0.150     1     4402677
 I5      1     0      3571.9600000        0.0000207        0.0086867     0.150     1     4402677
 I5      1     0      3628.0850000       -0.0000959        0.0255942     0.150     1     4402677
 I5      1     0      3684.0800000        0.0000110        0.0090708     0.150     1     4402677
 I5      1     0      3740.0450000        0.0000669       -0.0124449     0.150     1     4402677
 I5      1     0      3795.9650000        0.0000888       -0.0436465     0.150     1     4402677
 I5      1     0      3851.9500000       -0.0000981        0.0086214     0.150     1     4402677
 I5      1     0      3907.9400000        0.0000101        0.0440369     0.150     1     4402677
 I5      1     0      3964.0450000       -0.0001108        0.0074059     0.150     1     4402677
 I5      1     0      4020.0150000        0.0000329        0.0023242     0.150     1     4402677
 I5      1     0      4076.0100000       -0.0000803       -0.0325922     0.150     1     4402677
 I5      1     0      4132.0550000        0.0003019       -0.0348053     0.150     1     4402677
 I5      1     0      4187.9600000        0.0002266        0.0167947     0.150     1     4402677
 I5      1     0      4243.8950000        0.0000122        0.0409871     0.150     1     4402677
 I5      1     0      4300.0200000       -0.0001620        0.0802132     0.150     1     4402677
 I5      1     0      4355.9600000        0.0000717       -0.0210679     0.150     1     4402677
 I5      1     0      4412.0350000       -0.0000178       -0.0042246     0.150     1     4402677
 I5      1     0      4467.9650000       -0.0000091        0.0160065     0.150     1     4402677
 I5      1     0      4523.9900000        0.0001018        0.0627499     0.150     1     4402677
 I5      1     0      4579.9250000       -0.0001091        0.0637313     0.150     1     4402677
 I5      1     0      4636.0100000        0.0001818        0.0397754     0.150     1     4402677
 I5      1     0      4692.1000000       -0.0000526        0.0055476     0.150     1     4402677
 I5      1     0      4748.0100000        0.0001152       -0.0296346     0.150     1     4402677
 I5      1     0      4804.0050000       -0.0000065        0.0634164     0.150     1     4402677
 I5      1     0      4859.9650000       -0.0000851        0.0532727     0.150     1     4402677
 I5      1     0      4915.9700000       -0.0001419        0.0412054     0.150     1     4402677
 I5      1     0      4971.9850000        0.0002536        0.0332822     0.150     1     4402677
 I5      1     0      5028.1000000        0.0001289        0.0234726     0.150     1     4402677
 I5      1     0      5084.0200000        0.0001200        0.0241717     0.150     1     4402677
 I5      1     0      5140.0000000        0.0001110       -0.0342538     0.150     1     4402677
 I5      1     0      5195.9500000       -0.0000020        0.0059497     0.150     1     4402677
 I5      1     0      5251.9450000       -0.0001224        0.0044471     0.150     1     4402677
 I5      1     0      5308.0450000        0.0000224       -0.0496285     0.150     1     4402677
 I5      1     0      5364.0500000        0.0001961        0.0521623     0.150     1     4402677
 I5      1     0      5419.9400000        0.0000328        0.0294386     0.150     1     4402677
 I5      1     0      5476.0050000       -0.0001825        0.0192062     0.150     1     4402677
 I5      1     0      5520.0500000        0.0000930        0.0226120     0.150     1     4402678
 I5      1     0      5579.9800000        0.0001712       -0.0461749     0.150     1     4402678
 I5      1     0      5640.0550000        0.0001078        0.0331643     0.150     1     4402678
 I5      1     0      5699.9050000       -0.0000804       -0.0072572     0.150     1     4402678
 I5      1     0      5759.9850000        0.0001285        0.0276675     0.150     1     4402678
 I5      1     0      5819.9850000        0.0001089       -0.0288234     0.150     1     4402678
 I5      1     0      5880.0450000        0.0001269        0.0036293     0.150     1     4402678
 I5      1     0      5939.9900000        0.0001816        0.0259343     0.150     1     4402678
 I5      1     0      6000.0400000       -0.0000507       -0.0198380     0.150     1     4402678
 I5      1     0      6060.0500000       -0.0001575        0.0173110     0.150     1     4402678
 I5      1     0      6119.9850000        0.0001501       -0.0380345     0.150     1     4402678
 I5      1     0      6180.0050000        0.0000743        0.0273432     0.150     1     4402678
 I5      1     0      6239.9800000        0.0002114        0.0346149     0.150     1     4402678
 I5      1     0      6299.9700000        0.0000007        0.0033555     0.150     1     4402678
 I5      1     0      6360.0300000       -0.0001230        0.0279745     0.150     1     4402678
 I5      1     0      6420.0300000        0.0000310        0.0647136     0.150     1     4402678
 I5      1     0      6480.0800000        0.0001846        0.0322732     0.150     1     4402678
 I5      1     0      6539.9200000        0.0002062       -0.0084169     0.150     1     4402678
 I5      1     0      6599.9750000        0.0000156        0.0463791     0.150     1     4402678
 I5      1     0      6660.0150000        0.0000043        0.0202367     0.150     1     4402678
 I5      1     0      6720.0300000       -0.0000763        0.0067968     0.150     1     4402678
 I5      1     0      6779.9700000        0.0000071        0.0760066     0.150     1     4402678
 I5      1     0      6840.0600000        0.0001291        0.0009767     0.150     1     4402678
 I5      1     0      6900.0450000       -0.0000065        0.0360564     0.150     1     4402678
 I5      1     0      6959.9750000       -0.0000365       -0.0063496     0.150     1     4402678
 I5      1     0      7019.9150000       -0.0000123        0.0181724     0.150     1     4402678
 I5      1     0      7079.9500000        0.0002778        0.0354610     0.150     1     4402678
 I5      1     0      7150.1150000        0.0000630       -0.0058626     0.150     1     4402679
 I5      1     0      7270.0050000        0.0003125       -0.0095681     0.150     1     4402679
 I5      1     0      7390.0650000        0.0000316        0.0266337     0.150     1     4402679
 I5      1     0      7510.1900000       -0.0001348       -0.0026869     0.150     1     4402679
 I5      1     0      7630.0350000        0.0000962        0.0325973     0.150     1     4402679
 I5      1     0      7750.0050000       -0.0001377        0.0076770     0.150     1     4402679
 I5      1     0      7869.8350000       -0.0000432        0.0477425     0.150     1     4402679
 I5      1     0      7990.0550000        0.0001246        0.0666291     0.150     1     4402679
 I5      1     0      8109.9050000        0.0002315        0.0168387     0.150     1     4402679
 I5      1     0      8230.0150000       -0.0000359        0.0078569     0.150     1     4402679
 I5      1     0      8349.8650000        0.0000801        0.0236262     0.150     1     4402679
 I5      1     0      8469.8050000        0.0001035        0.0256252     0.150     1     4402679
 I5      1     0      8589.8400000       -0.0001121        0.0989619     0.150     1     4402679
 I5      1     0      8710.0750000        0.0000864        0.0408245     0.150     1     4402679
 I5      1     0      8830.0450000        0.0001151        0.0329777     0.150     1     4402679
 I5      1     0      8950.0600000        0.0000625       -0.0169814     0.150     1     4402679
 I5      1     0      9070.0250000       -0.0001183        0.0107209     0.150     1     4402679
 I5      1     0      9189.9300000       -0.0000251        0.0372611     0.150     1     4402679
 I5      1     0      9309.8700000        0.0000829        0.0168038     0.150     1     4402679
 I5      1     0      9429.9250000       -0.0000086        0.0342018     0.150     1     4402679
 I5      1     0      9550.1500000       -0.0001385        0.0022485     0.150     1     4402679
 I5      1     0      9669.9800000       -0.0002261       -0.0134215     0.150     1     4402679
 I5      1     0      9756.9200000       -0.0000672        0.0303234     0.150     1     4402680
 I5      1     0      9852.0000000       -0.0000322        0.0130607     0.150     1     4402680
 I5      1     0      9946.9050000        0.0000944        0.0163955     0.150     1     4402680
 I5      1     0     10042.0000000        0.0004134        0.0400135     0.150     1     4402680
 I5      1     0     10137.0500000        0.0010779        0.4563076     0.150     0     4402680
 I5      1     0     10232.1000000        0.0009850        0.4840617     0.150     0     4402680
 I5      1     0     10327.0500000        0.0012464        0.5918423     0.150     0     4402680
 I5      1     0     10411.9500000        0.0036336        1.3391087     0.150     0     4402670
 I5      1     0     10492.1000000        0.0176701        5.4279182     0.150     0     4402670
 I5      1     0     10572.0500000        0.1419491       37.4740944     0.150     0     4402670
 I5      1     0     10651.9000000        0.7783570      188.8544987     0.150     0     4402670
 I5      1     0     10731.9000000        1.0000000      349.9852308     0.150     0     4402670
 I5      1     0     10812.0000000        0.9682178      341.6092431     0.150     0     4402670
 I5      1     0     10891.9000000        0.9180632      293.8224445     0.150     0     4402670
 I5      1     0     10972.0500000        0.8892709      301.6103017     0.150     0     4402670
 I5      1     0     11052.1500000        0.8816922      292.6144157     0.150     0     4402670
 I5      1     0     11132.0500000        0.8834844      269.5274826     0.150     0     4402670
 I5      1     0     11212.0000000        0.8676854      255.1658066     0.150     0     4402670
 I5      1     0     11291.9500000        0.8510210      245.3899405     0.150     0     4402670
 I5      1     0     11372.0000000        0.8256408      221.5354894     0.150     0     4402670
 I5      1     0     11451.9500000        0.8152951      219.8337955     0.150     0     4402670
 I5      1     0     11531.9000000        0.8150401      212.8903390     0.150     0     4402670
 I5      1     0     11612.0500000        0.7923359      205.9022135     0.150     0     4402670
 I5      1     0     11692.0000000        0.7630963      193.8126405     0.150     0     4402670
 I5      1     0     11772.0500000        0.7059130      168.7843015     0.150     0     4402670
