%DAWG J2 VIIRS RSR Release V1 Band M12
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
M12      1     0      1000.0100000        0.0000007        0.0023677     0.032     1     4402719.0
M12      1     0      1015.9950000        0.0000003        0.0083573     0.032     1     4402719.0
M12      1     0      1032.0000000       -0.0000002       -0.0050903     0.032     1     4402719.0
M12      1     0      1048.0150000        0.0000005        0.0131586     0.032     1     4402719.0
M12      1     0      1064.0000000        0.0000004        0.0077936     0.032     1     4402719.0
M12      1     0      1079.9950000        0.0000005        0.0005352     0.032     1     4402719.0
M12      1     0      1096.0000000        0.0000005        0.0192045     0.032     1     4402719.0
M12      1     0      1111.9950000       -0.0000001       -0.0031048     0.032     1     4402719.0
M12      1     0      1128.0000000        0.0000002        0.0090984     0.032     1     4402719.0
M12      1     0      1144.0100000        0.0000001        0.0104047     0.032     1     4402719.0
M12      1     0      1160.0100000        0.0000004        0.0229203     0.032     1     4402719.0
M12      1     0      1176.0050000       -0.0000004        0.0007788     0.032     1     4402719.0
M12      1     0      1192.0050000       -0.0000003        0.0082212     0.032     1     4402720
M12      1     0      1208.0050000        0.0000006       -0.0023864     0.032     1     4402720
M12      1     0      1224.0000000        0.0000006        0.0067030     0.032     1     4402720
M12      1     0      1239.9900000       -0.0000009        0.0114874     0.032     1     4402720
M12      1     0      1256.0050000       -0.0000002        0.0015387     0.032     1     4402720
M12      1     0      1272.0100000       -0.0000002        0.0101636     0.032     1     4402720
M12      1     0      1288.0000000       -0.0000004       -0.0002454     0.032     1     4402720
M12      1     0      1304.0000000       -0.0000003       -0.0037677     0.032     1     4402720
M12      1     0      1320.0150000       -0.0000004        0.0201067     0.032     1     4402720
M12      1     0      1336.0050000        0.0000005        0.0120781     0.032     1     4402720
M12      1     0      1352.0100000        0.0000004        0.0011503     0.032     1     4402720
M12      1     0      1368.0000000       -0.0000004        0.0059993     0.032     1     4402720
M12      1     0      1383.9950000        0.0000002        0.0060588     0.032     1     4402720
M12      1     0      1400.0200000        0.0000005       -0.0027233     0.032     1     4402720
M12      1     0      1416.0000000       -0.0000002        0.0105408     0.032     1     4402720
M12      1     0      1432.0050000       -0.0000001        0.0067945     0.032     1     4402720
M12      1     0      1447.9900000       -0.0000003        0.0120222     0.032     1     4402720
M12      1     0      1464.0050000        0.0000005        0.0125507     0.032     1     4402720
M12      1     0      1479.9850000        0.0000000        0.0055485     0.032     1     4402720
M12      1     0      1495.9900000       -0.0000002        0.0029322     0.032     1     4402720
M12      1     0      1511.9850000        0.0000004        0.0020789     0.032     1     4402720
M12      1     0      1528.0150000        0.0000003        0.0067027     0.032     1     4402720
M12      1     0      1543.9950000       -0.0000005       -0.0063338     0.032     1     4402720
M12      1     0      1559.9950000       -0.0000003        0.0025760     0.032     1     4402720
M12      1     0      1575.9800000        0.0000004        0.0298931     0.032     1     4402720
M12      1     0      1592.0050000        0.0000002        0.0182759     0.032     1     4402720
M12      1     0      1608.0100000       -0.0000002        0.0123650     0.032     1     4402720
M12      1     0      1623.9950000        0.0000006        0.0140648     0.032     1     4402720
M12      1     0      1640.0050000       -0.0000001        0.0127169     0.032     1     4402720
M12      1     0      1656.0050000       -0.0000008        0.0140243     0.032     1     4402720
M12      1     0      1672.0000000        0.0000002        0.0090391     0.032     1     4402720
M12      1     0      1688.0100000        0.0000004       -0.0082032     0.032     1     4402720
M12      1     0      1704.0000000       -0.0000004       -0.0211407     0.032     1     4402720
M12      1     0      1720.0100000        0.0000002       -0.0003692     0.032     1     4402720
M12      1     0      1735.9850000        0.0000004        0.0120687     0.032     1     4402720
M12      1     0      1751.9950000        0.0000003        0.0098452     0.032     1     4402720
M12      1     0      1768.0100000        0.0000003        0.0003893     0.032     1     4402720
M12      1     0      1783.9950000       -0.0000001        0.0100944     0.032     1     4402720
M12      1     0      1799.9950000        0.0000002        0.0149243     0.032     1     4402720
M12      1     0      1816.0000000        0.0000002       -0.0015173     0.032     1     4402720
M12      1     0      1831.9900000       -0.0000000       -0.0114537     0.032     1     4402720
M12      1     0      1848.0000000       -0.0000006        0.0085068     0.032     1     4402720
M12      1     0      1863.9950000        0.0000001        0.0051732     0.032     1     4402720
M12      1     0      1879.9800000        0.0000005       -0.0061345     0.032     1     4402720
M12      1     0      1896.0050000        0.0000002        0.0039467     0.032     1     4402720
M12      1     0      1911.9950000        0.0000002       -0.0215062     0.032     1     4402720
M12      1     0      1928.0100000        0.0000005        0.0098488     0.032     1     4402720
M12      1     0      1943.9950000        0.0000000       -0.0131561     0.032     1     4402720
M12      1     0      1960.0050000       -0.0000003       -0.0060117     0.032     1     4402720
M12      1     0      1976.0000000        0.0000001        0.0099842     0.032     1     4402720
M12      1     0      1992.0100000        0.0000001        0.0049642     0.032     1     4402720
M12      1     0      2008.0000000        0.0000006        0.0162946     0.032     1     4402720
M12      1     0      2023.9900000        0.0000000        0.0037999     0.032     1     4402720
M12      1     0      2039.9950000        0.0000004        0.0161230     0.032     1     4402720
M12      1     0      2055.9800000       -0.0000006        0.0157849     0.032     1     4402720
M12      1     0      2072.0050000       -0.0000002        0.0168691     0.032     1     4402720
M12      1     0      2088.0000000        0.0000001       -0.0002627     0.032     1     4402720
M12      1     0      2104.0000000        0.0000001        0.0172276     0.032     1     4402720
M12      1     0      2120.0050000       -0.0000003        0.0034808     0.032     1     4402720
M12      1     0      2135.9900000       -0.0000003        0.0138236     0.032     1     4402720
M12      1     0      2151.9950000        0.0000006        0.0097055     0.032     1     4402720
M12      1     0      2167.9850000        0.0000000        0.0087294     0.032     1     4402720
M12      1     0      2184.0050000       -0.0000004        0.0105000     0.032     1     4402720
M12      1     0      2200.0000000        0.0000005       -0.0094762     0.032     1     4402720
M12      1     0      2216.0000000       -0.0000005       -0.0008788     0.032     1     4402720
M12      1     0      2232.0050000       -0.0000000       -0.0064395     0.032     1     4402720
M12      1     0      2248.0050000       -0.0000002        0.0065479     0.032     1     4402720
M12      1     0      2264.0000000        0.0000002        0.0103645     0.032     1     4402721
