%DAWG J2 VIIRS RSR Release V2 Band M13 with CO2 Correction
%Based upon CO2 Corrected (UW) VCST August 7, 2018 RSR Analysis (using CO2-interpolated RSO)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID
M13      1     0      2311.9850000        0.0000002        0.0102664     0.050     1     4402752
M13      1     0      2327.9950000        0.0000003       -0.0044180     0.050     1     4402752
M13      1     0      2343.9950000        0.0000002        0.0086200     0.050     1     4402752
M13      1     0      2359.9900000        0.0000001        0.0014543     0.050     1     4402752
M13      1     0      2375.9900000        0.0000002        0.0122847     0.050     1     4402752
M13      1     0      2391.9950000       -0.0000003        0.0042978     0.050     1     4402752
M13      1     0      2407.9950000        0.0000003        0.0104424     0.050     1     4402752
M13      1     0      2424.0100000        0.0000002        0.0017958     0.050     1     4402752
M13      1     0      2434.0000000        0.0000003       -0.0026873     0.050     1     4402753
M13      1     0      2449.9950000        0.0000007        0.0145130     0.050     1     4402753
M13      1     0      2465.9950000        0.0000002        0.0097613     0.050     1     4402753
M13      1     0      2482.0100000        0.0000000        0.0065759     0.050     1     4402753
M13      1     0      2498.0100000        0.0000002       -0.0034700     0.050     1     4402753
M13      1     0      2514.0150000       -0.0000001        0.0092950     0.050     1     4402753
M13      1     0      2530.0000000        0.0000004        0.0140378     0.050     1     4402753
M13      1     0      2546.0000000       -0.0000003        0.0053872     0.050     1     4402753
M13      1     0      2562.0050000        0.0000000        0.0178756     0.050     1     4402753
M13      1     0      2577.9950000       -0.0000003        0.0012870     0.050     1     4402753
M13      1     0      2593.9950000        0.0000004        0.0149782     0.050     1     4402753
M13      1     0      2610.0000000        0.0000004        0.0167888     0.050     1     4402753
M13      1     0      2626.0050000       -0.0000004        0.0057667     0.050     1     4402753
M13      1     0      2642.0000000        0.0000000        0.0087368     0.050     1     4402753
M13      1     0      2658.0000000        0.0000000       -0.0038148     0.050     1     4402753
M13      1     0      2673.9900000       -0.0000001        0.0134782     0.050     1     4402753
M13      1     0      2690.0050000       -0.0000002        0.0059462     0.050     1     4402753
M13      1     0      2706.0000000        0.0000003        0.0147280     0.050     1     4402753
M13      1     0      2721.9950000        0.0000001       -0.0077053     0.050     1     4402753
M13      1     0      2738.0050000        0.0000000        0.0068704     0.050     1     4402753
M13      1     0      2754.0000000       -0.0000001        0.0136356     0.050     1     4402753
M13      1     0      2769.9950000        0.0000001        0.0106286     0.050     1     4402753
M13      1     0      2786.0100000        0.0000007        0.0175712     0.050     1     4402753
M13      1     0      2801.9900000        0.0000002        0.0010149     0.050     1     4402753
M13      1     0      2817.9950000        0.0000001        0.0105251     0.050     1     4402753
M13      1     0      2833.9950000        0.0000003       -0.0021747     0.050     1     4402753
