%DAWG J2 VIIRS RSR Release V1 Band M14
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
M14      1     0      1799.9950000        0.0000167        0.0743526     0.100     1     4402734
M14      1     0      1816.0000000        0.0000070        0.0284231     0.100     1     4402734
M14      1     0      1831.9900000        0.0000163        0.0621750     0.100     1     4402734
M14      1     0      1848.0000000        0.0000059        0.0573498     0.100     1     4402734
M14      1     0      1863.9950000        0.0000023        0.0269670     0.100     1     4402734
M14      1     0      1879.9800000        0.0000026        0.0383648     0.100     1     4402734
M14      1     0      1896.0050000        0.0000064        0.0335774     0.100     1     4402734
M14      1     0      1911.9950000        0.0000116       -0.0122971     0.100     1     4402734
M14      1     0      1928.0100000        0.0000082        0.0616222     0.100     1     4402734
M14      1     0      1943.9950000        0.0000021        0.0384281     0.100     1     4402734
M14      1     0      1960.0050000       -0.0000052        0.0148427     0.100     1     4402734
M14      1     0      1976.0000000        0.0000035        0.0084077     0.100     1     4402734
M14      1     0      1992.0100000       -0.0000018       -0.0203778     0.100     1     4402734
M14      1     0      2008.0000000        0.0000065        0.0221066     0.100     1     4402734
M14      1     0      2023.9900000       -0.0000086        0.0596919     0.100     1     4402734
M14      1     0      2039.9950000       -0.0000009        0.0145065     0.100     1     4402734
M14      1     0      2055.9800000        0.0000093       -0.0040655     0.100     1     4402734
M14      1     0      2072.0050000        0.0000018        0.0211193     0.100     1     4402734
M14      1     0      2088.0000000        0.0000059       -0.0023116     0.100     1     4402734
M14      1     0      2104.0000000       -0.0000105        0.0258234     0.100     1     4402734
M14      1     0      2120.0050000        0.0000001        0.0260208     0.100     1     4402734
M14      1     0      2135.9900000       -0.0000073        0.0185894     0.100     1     4402734
M14      1     0      2151.9950000        0.0000026        0.0469178     0.100     1     4402734
M14      1     0      2167.9850000       -0.0000067        0.0458162     0.100     1     4402734
M14      1     0      2184.0050000       -0.0000071       -0.0364516     0.100     1     4402734
M14      1     0      2200.0000000       -0.0000125        0.0374189     0.100     1     4402734
M14      1     0      2216.0000000       -0.0000073       -0.0089237     0.100     1     4402734
M14      1     0      2232.0050000        0.0000094        0.0028359     0.100     1     4402734
M14      1     0      2248.0050000        0.0000109        0.0097573     0.100     1     4402734
M14      1     0      2264.0000000       -0.0000151       -0.0033275     0.100     1     4402735
