%DAWG J2 VIIRS RSR Release V1 Band I4 
%Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017            
%Detector numbering given in "Sensor" order (1st detector in along track direction is assigned #1)
%Bnd    det    SS         wvl_nm             RSR              SNR     SNR_Thresh  QF      UAID                              
 I4      1     0      2105.9950000        0.0000015        0.0093693     0.040     1     4402770
 I4      1     0      2120.0050000        0.0000003       -0.0043186     0.040     1     4402770
 I4      1     0      2134.0000000       -0.0000001        0.0053263     0.040     1     4402770
 I4      1     0      2148.0050000        0.0000011        0.0034138     0.040     1     4402770
 I4      1     0      2162.0000000        0.0000003        0.0087964     0.040     1     4402770
 I4      1     0      2176.0000000        0.0000014        0.0087216     0.040     1     4402770
 I4      1     0      2190.0200000        0.0000003        0.0107555     0.040     1     4402770
 I4      1     0      2203.9950000        0.0000009        0.0117531     0.040     1     4402770
 I4      1     0      2217.9850000       -0.0000009        0.0017269     0.040     1     4402770
 I4      1     0      2232.0050000       -0.0000014        0.0124254     0.040     1     4402770
 I4      1     0      2246.0050000       -0.0000004        0.0055047     0.040     1     4402770
 I4      1     0      2256.0000000        0.0000001        0.0041577     0.040     1     4402771
 I4      1     0      2269.9900000        0.0000006        0.0037147     0.040     1     4402771
 I4      1     0      2284.0100000       -0.0000008       -0.0020751     0.040     1     4402771
 I4      1     0      2298.0050000       -0.0000002       -0.0029089     0.040     1     4402771
 I4      1     0      2311.9850000        0.0000004        0.0013215     0.040     1     4402771
 I4      1     0      2326.0000000        0.0000013        0.0020280     0.040     1     4402771
 I4      1     0      2339.9900000        0.0000015       -0.0024435     0.040     1     4402771
 I4      1     0      2354.0000000        0.0000003        0.0034399     0.040     1     4402771
 I4      1     0      2368.0050000        0.0000001       -0.0012546     0.040     1     4402771
 I4      1     0      2381.9950000       -0.0000004       -0.0059152     0.040     1     4402771
 I4      1     0      2396.0050000       -0.0000002       -0.0020123     0.040     1     4402771
 I4      1     0      2410.0000000        0.0000004        0.0117159     0.040     1     4402771
 I4      1     0      2418.0050000        0.0000005        0.0051936     0.040     1     4402772
 I4      1     0      2434.0000000       -0.0000005        0.0035836     0.040     1     4402772
 I4      1     0      2449.9950000       -0.0000008        0.0045764     0.040     1     4402772
 I4      1     0      2465.9950000        0.0000007        0.0034944     0.040     1     4402772
 I4      1     0      2482.0100000       -0.0000004        0.0039540     0.040     1     4402772
 I4      1     0      2498.0100000       -0.0000001       -0.0057952     0.040     1     4402772
 I4      1     0      2514.0150000       -0.0000007        0.0053698     0.040     1     4402772
 I4      1     0      2530.0000000        0.0000011        0.0106617     0.040     1     4402772
 I4      1     0      2546.0000000        0.0000008        0.0035637     0.040     1     4402772
 I4      1     0      2562.0050000       -0.0000000        0.0054126     0.040     1     4402772
 I4      1     0      2577.9950000       -0.0000009       -0.0026333     0.040     1     4402772
 I4      1     0      2593.9950000        0.0000011        0.0041456     0.040     1     4402772
 I4      1     0      2610.0000000        0.0000010        0.0017460     0.040     1     4402772
 I4      1     0      2626.0050000        0.0000002        0.0005359     0.040     1     4402772
 I4      1     0      2642.0000000       -0.0000002        0.0039451     0.040     1     4402772
 I4      1     0      2658.0000000        0.0000008        0.0090447     0.040     1     4402772
 I4      1     0      2673.9900000       -0.0000006        0.0042728     0.040     1     4402772
 I4      1     0      2690.0050000        0.0000021        0.0045396     0.040     1     4402772
 I4      1     0      2706.0000000        0.0000008       -0.0061050     0.040     1     4402772
 I4      1     0      2721.9950000       -0.0000003        0.0001694     0.040     1     4402772
 I4      1     0      2738.0050000       -0.0000010       -0.0025218     0.040     1     4402772
 I4      1     0      2754.0000000       -0.0000005        0.0069352     0.040     1     4402772
 I4      1     0      2769.9950000       -0.0000002        0.0098143     0.040     1     4402772
 I4      1     0      2786.0100000        0.0000001        0.0056344     0.040     1     4402772
 I4      1     0      2801.9900000        0.0000006        0.0037149     0.040     1     4402772
 I4      1     0      2817.9950000       -0.0000002        0.0051432     0.040     1     4402772
 I4      1     0      2833.9950000        0.0000009       -0.0086599     0.040     1     4402772
 I4      1     0      2850.0000000       -0.0000007        0.0078577     0.040     1     4402772
 I4      1     0      2866.0050000        0.0000010        0.0076864     0.040     1     4402772
 I4      1     0      2882.0000000        0.0000001        0.0099394     0.040     1     4402772
 I4      1     0      2898.0000000        0.0000005        0.0067707     0.040     1     4402772
 I4      1     0      2914.0000000       -0.0000004       -0.0077877     0.040     1     4402772
 I4      1     0      2930.0100000        0.0000003       -0.0006777     0.040     1     4402772
 I4      1     0      2933.9900000       -0.0000004        0.0023339     0.040     1     4402773
 I4      1     0      2990.0150000       -0.0000005        0.0029937     0.040     1     4402773
 I4      1     0      3045.9600000        0.0000005        0.0030396     0.040     1     4402773
 I4      1     0      3102.0200000       -0.0000005        0.0080508     0.040     1     4402773
 I4      1     0      3157.9800000        0.0000008        0.0075148     0.040     1     4402773
 I4      1     0      3213.9500000        0.0000006        0.0318242     0.040     1     4402773
 I4      1     0      3269.9200000        0.0000129        0.2654800     0.040     0     4402773
 I4      1     0      3325.9900000        0.0000455        9.5337980     0.040     0     4402774
 I4      1     0      3382.0300000        0.0001958        4.8461910     0.040     0     4402774
 I4      1     0      3437.9350000        0.0013846       34.0115669     0.040     0     4402774
 I4      1     0      3450.0000000        0.0020519        1.2074882     0.040     0     4402764
 I4      1     0      3453.9950000        0.0022728        1.3017936     0.040     0     4402764
 I4      1     0      3457.9850000        0.0024665        1.5743091     0.040     0     4402764
 I4      1     0      3461.9850000        0.0031406        1.8538260     0.040     0     4402764
 I4      1     0      3465.9850000        0.0034588        2.1266800     0.040     0     4402764
 I4      1     0      3470.0000000        0.0037945        2.3905566     0.040     0     4402764
 I4      1     0      3474.0200000        0.0050232        2.7609011     0.040     0     4402764
 I4      1     0      3478.0400000        0.0059560        3.8467728     0.040     0     4402764
 I4      1     0      3481.9650000        0.0069609        4.0290162     0.040     0     4402764
 I4      1     0      3486.0100000        0.0080966        4.8424347     0.040     0     4402764
 I4      1     0      3489.9550000        0.0092922        5.5941088     0.040     0     4402764
 I4      1     0      3494.0100000        0.0118015        6.9732764     0.040     0     4402764
 I4      1     0      3497.9700000        0.0155769        8.3295630     0.040     0     4402764
 I4      1     0      3501.9350000        0.0182157        9.9846278     0.040     0     4402764
 I4      1     0      3505.9100000        0.0208834       11.4440885     0.040     0     4402764
 I4      1     0      3510.0050000        0.0247079       13.1893221     0.040     0     4402764
 I4      1     0      3514.1050000        0.0301848       16.5829754     0.040     0     4402764
 I4      1     0      3518.1000000        0.0392545       19.8159884     0.040     0     4402764
 I4      1     0      3522.1050000        0.0511948       25.2553716     0.040     0     4402764
 I4      1     0      3526.0000000        0.0645383       27.6232813     0.040     0     4402764
 I4      1     0      3530.0150000        0.0775637       32.9885788     0.040     0     4402764
 I4      1     0      3534.0300000        0.0928424       35.6290464     0.040     0     4402764
 I4      1     0      3538.0450000        0.1123553       43.8913045     0.040     0     4402764
 I4      1     0      3542.0650000        0.1439933       48.9213247     0.040     0     4402764
 I4      1     0      3546.0900000        0.1879096       52.4676097     0.040     0     4402764
 I4      1     0      3550.0000000        0.2355494       56.6220980     0.040     0     4402764
 I4      1     0      3554.0200000        0.2796270       65.9908073     0.040     0     4402764
 I4      1     0      3558.0350000        0.3181248       61.9609503     0.040     0     4402764
 I4      1     0      3562.0500000        0.3815497       68.5279600     0.040     0     4402764
 I4      1     0      3565.9500000        0.4452882       64.1278140     0.040     0     4402764
 I4      1     0      3569.9600000        0.5485902       74.7041105     0.040     0     4402764
 I4      1     0      3574.0700000        0.6031718       76.3477410     0.040     0     4402764
 I4      1     0      3578.0700000        0.6466348       75.0357242     0.040     0     4402764
 I4      1     0      3582.0550000        0.6929571       74.1249515     0.040     0     4402764
 I4      1     0      3585.9250000        0.7304994       71.4672934     0.040     0     4402764
 I4      1     0      3590.0100000        0.7747073       90.9987905     0.040     0     4402764
 I4      1     0      3593.9700000        0.7742548       72.7688820     0.040     0     4402764
 I4      1     0      3597.9250000        0.7961270       83.0673100     0.040     0     4402764
 I4      1     0      3601.9850000        0.8173317       79.6672500     0.040     0     4402764
 I4      1     0      3606.0350000        0.7930994       76.5564292     0.040     0     4402764
 I4      1     0      3610.0700000        0.8143783       82.7764522     0.040     0     4402764
 I4      1     0      3613.9900000        0.8161075       82.2416695     0.040     0     4402764
 I4      1     0      3617.9000000        0.8425040       80.3645534     0.040     0     4402764
 I4      1     0      3622.0250000        0.8283357       78.0697139     0.040     0     4402764
 I4      1     0      3625.9200000        0.8596634       62.1087563     0.040     0     4402764
 I4      1     0      3630.0250000        0.8449994       70.4594680     0.040     0     4402764
 I4      1     0      3633.9100000        0.8799317       72.8020077     0.040     0     4402764
 I4      1     0      3638.0050000        0.8791111       74.5494780     0.040     0     4402764
 I4      1     0      3641.9800000        0.8750757       70.7427129     0.040     0     4402764
 I4      1     0      3646.0600000        0.8840191       70.8078806     0.040     0     4402764
 I4      1     0      3649.9300000        0.8664162       67.2004362     0.040     0     4402764
 I4      1     0      3654.0050000        0.8870632       63.8006999     0.040     0     4402764
 I4      1     0      3657.9750000        0.8611950       73.7288832     0.040     0     4402764
 I4      1     0      3662.0500000        0.8906291       75.3162650     0.040     0     4402764
 I4      1     0      3666.0200000        0.8922717       78.2605594     0.040     0     4402764
 I4      1     0      3669.9900000        0.8467126       70.6371946     0.040     0     4402764
 I4      1     0      3674.0700000        0.8829119       68.7526393     0.040     0     4402764
 I4      1     0      3677.9450000        0.8703042       82.4273126     0.040     0     4402764
 I4      1     0      3681.9300000        0.8708300       72.0023268     0.040     0     4402764
 I4      1     0      3686.0250000        0.8758000       65.6597692     0.040     0     4402764
 I4      1     0      3690.0200000        0.8894853       62.6053754     0.040     0     4402764
 I4      1     0      3694.0200000        0.8848941       66.8385351     0.040     0     4402764
 I4      1     0      3697.9250000        0.9059845       74.9921934     0.040     0     4402764
 I4      1     0      3702.0550000        0.9247648       66.9732051     0.040     0     4402764
 I4      1     0      3705.9700000        0.9008193       67.9092180     0.040     0     4402764
 I4      1     0      3710.0100000        0.8796786       70.0536988     0.040     0     4402764
 I4      1     0      3713.9450000        0.8923717       60.1952706     0.040     0     4402764
 I4      1     0      3718.0000000        0.9116852       68.7278666     0.040     0     4402764
 I4      1     0      3721.9500000        0.9291270       79.9188900     0.040     0     4402764
 I4      1     0      3725.9100000        0.9458653       76.6023768     0.040     0     4402764
 I4      1     0      3730.1000000        0.9098074       72.3532004     0.040     0     4402764
 I4      1     0      3734.0700000        0.9253927       72.0633479     0.040     0     4402764
 I4      1     0      3738.0550000        0.9206423       69.2827653     0.040     0     4402764
 I4      1     0      3742.0400000        0.9339649       74.2180936     0.040     0     4402764
 I4      1     0      3746.0350000        0.9316277       69.3787044     0.040     0     4402764
 I4      1     0      3750.0300000        0.9220526       81.2776358     0.040     0     4402764
 I4      1     0      3754.0250000        0.9175811       81.3364269     0.040     0     4402764
 I4      1     0      3758.0300000        0.9198130       77.8957292     0.040     0     4402764
 I4      1     0      3762.0300000        0.8918582       76.7599370     0.040     0     4402764
 I4      1     0      3765.9250000        0.9251345       77.5944308     0.040     0     4402764
 I4      1     0      3769.9200000        0.9384034       62.5740571     0.040     0     4402764
 I4      1     0      3774.0350000        0.9239352       72.7188536     0.040     0     4402764
 I4      1     0      3778.0300000        0.9350337       78.1929605     0.040     0     4402764
 I4      1     0      3782.0300000        0.9304841       83.1824963     0.040     0     4402764
 I4      1     0      3786.0150000        0.9341262       91.3355107     0.040     0     4402764
 I4      1     0      3790.0000000        0.9345066       86.4045081     0.040     0     4402764
 I4      1     0      3793.9800000        0.9394106       76.0875143     0.040     0     4402764
 I4      1     0      3797.9550000        0.9368265       73.9053317     0.040     0     4402764
 I4      1     0      3802.0300000        0.9260522       83.1942278     0.040     0     4402764
 I4      1     0      3805.9850000        0.9187780       74.8380564     0.040     0     4402764
 I4      1     0      3809.9350000        0.9253897       87.2787557     0.040     0     4402764
 I4      1     0      3813.9800000        0.9427959       81.8509332     0.040     0     4402764
 I4      1     0      3818.0250000        0.9531084       76.8201385     0.040     0     4402764
 I4      1     0      3822.0550000        0.9461394       77.0815864     0.040     0     4402764
 I4      1     0      3825.9700000        0.9499223       84.0886383     0.040     0     4402764
 I4      1     0      3829.9800000        0.9622395       81.0163853     0.040     0     4402764
 I4      1     0      3833.9850000        0.9660004       76.3289754     0.040     0     4402764
 I4      1     0      3837.9750000        0.9447071       71.1644599     0.040     0     4402764
 I4      1     0      3842.0700000        0.9704976       68.0248171     0.040     0     4402764
 I4      1     0      3845.9400000        0.9618161       80.5427972     0.040     0     4402764
 I4      1     0      3850.0250000        0.9403294       70.1611081     0.040     0     4402764
 I4      1     0      3853.9850000        0.9819692       68.9011830     0.040     0     4402764
 I4      1     0      3858.0500000        0.9447102       73.1599063     0.040     0     4402764
 I4      1     0      3862.0100000        0.9793701       74.6927901     0.040     0     4402764
 I4      1     0      3865.9550000        0.9648353       73.1392986     0.040     0     4402764
 I4      1     0      3870.0100000        0.9494255       68.3985936     0.040     0     4402764
 I4      1     0      3873.9550000        0.9421910       80.7732743     0.040     0     4402764
 I4      1     0      3878.0100000        0.9275442       81.4465218     0.040     0     4402764
 I4      1     0      3881.9500000        0.9668771       71.5545098     0.040     0     4402764
 I4      1     0      3886.0050000        0.9550844       70.8136713     0.040     0     4402764
 I4      1     0      3889.9500000        0.9612755       63.1741272     0.040     0     4402764
 I4      1     0      3894.0150000        0.9664162       73.8989521     0.040     0     4402764
 I4      1     0      3897.9700000        0.9660768       71.0205418     0.040     0     4402764
 I4      1     0      3902.0400000        0.9709287       76.9786220     0.040     0     4402764
 I4      1     0      3906.0050000        1.0000000       62.1048409     0.040     0     4402764
 I4      1     0      3910.0900000        0.9894536       71.4670975     0.040     0     4402764
 I4      1     0      3913.9650000        0.9825637       77.2034889     0.040     0     4402764
 I4      1     0      3917.9550000        0.9656635       75.9312401     0.040     0     4402764
 I4      1     0      3922.0650000        0.9726721       75.2193932     0.040     0     4402764
 I4      1     0      3925.9600000        0.9576448       74.0854345     0.040     0     4402764
 I4      1     0      3929.9750000        0.9165624       74.4944870     0.040     0     4402764
 I4      1     0      3934.0000000        0.8633909       64.2997810     0.040     0     4402764
 I4      1     0      3938.0300000        0.8079572       68.7035447     0.040     0     4402764
 I4      1     0      3941.9700000        0.7265574       67.3267702     0.040     0     4402764
 I4      1     0      3946.0150000        0.6559316       70.7332387     0.040     0     4402764
 I4      1     0      3949.9600000        0.5770285       64.8142690     0.040     0     4402764
 I4      1     0      3954.0250000        0.4793141       65.0338011     0.040     0     4402764
 I4      1     0      3957.9800000        0.3940393       49.2598309     0.040     0     4402764
 I4      1     0      3962.0600000        0.3300445       53.0077111     0.040     0     4402764
 I4      1     0      3966.0300000        0.2689132       48.8459279     0.040     0     4402764
 I4      1     0      3970.0000000        0.2287347       49.5678927     0.040     0     4402764
 I4      1     0      3974.0850000        0.1806215       44.2649825     0.040     0     4402764
 I4      1     0      3978.0650000        0.1519016       40.7913706     0.040     0     4402764
 I4      1     0      3982.0400000        0.1237849       36.7221141     0.040     0     4402764
 I4      1     0      3986.0200000        0.0992913       33.9843447     0.040     0     4402764
 I4      1     0      3989.9950000        0.0784502       30.6598246     0.040     0     4402764
 I4      1     0      3993.9650000        0.0661296       27.3007973     0.040     0     4402764
 I4      1     0      3997.9400000        0.0536336       23.1700175     0.040     0     4402764
 I4      1     0      4002.0150000        0.0479032       20.2481734     0.040     0     4402764
 I4      1     0      4005.9800000        0.0417043       18.5084101     0.040     0     4402764
 I4      1     0      4009.9350000        0.0333637       15.8952620     0.040     0     4402764
 I4      1     0      4013.9950000        0.0280742       13.1784551     0.040     0     4402764
 I4      1     0      4017.9350000        0.0227941       11.1910710     0.040     0     4402764
 I4      1     0      4021.9800000        0.0191585        9.8042926     0.040     0     4402764
 I4      1     0      4025.9100000        0.0171643        8.2512637     0.040     0     4402764
 I4      1     0      4030.0450000        0.0142356        6.9222920     0.040     0     4402764
 I4      1     0      4033.9600000        0.0127549        6.1506794     0.040     0     4402764
 I4      1     0      4037.9650000        0.0112624        5.3516851     0.040     0     4402764
 I4      1     0      4042.0750000        0.0095019        4.4320906     0.040     0     4402764
 I4      1     0      4045.9600000        0.0076430        3.9053949     0.040     0     4402764
 I4      1     0      4050.0450000        0.0066126        3.3163595     0.040     0     4402764
 I4      1     0      4054.0200000        0.0057304        2.9919421     0.040     0     4402764
 I4      1     0      4057.9850000        0.0051554        2.5802250     0.040     0     4402764
 I4      1     0      4061.9400000        0.0045382        2.3354383     0.040     0     4402764
 I4      1     0      4066.0000000        0.0039495        2.1146412     0.040     0     4402764
 I4      1     0      4070.0500000        0.0034676        1.7173352     0.040     0     4402764
 I4      1     0      4073.9850000        0.0031218        1.6188088     0.040     0     4402764
 I4      1     0      4078.0250000        0.0027383        1.2563060     0.040     0     4402764
 I4      1     0      4082.0650000        0.0024905        1.0594935     0.040     0     4402764
 I4      1     0      4085.9850000        0.0023555        1.0810895     0.040     0     4402764
