wavelength(num),SRF
10,5.63E-04
10.02,-6.29E-04
10.04,-2.19E-04
10.06,-7.26E-04
10.08,-3.34E-04
10.1,-5.45E-04
10.12,-6.08E-04
10.14,-1.07E-03
10.16,-3.59E-04
10.18,5.25E-05
10.2,-4.19E-04
10.22,-6.21E-04
10.24,-8.18E-04
10.26,-8.33E-04
10.28,-7.82E-04
10.3,-4.87E-04
10.32,6.65E-05
10.34,-9.06E-04
10.36,-4.32E-04
10.38,-9.88E-04
10.4,4.50E-05
10.42,-9.52E-04
10.44,3.02E-03
10.46,-1.27E-03
10.48,1.14E-03
10.5,2.77E-03
10.52,4.49E-04
10.54,3.21E-03
10.56,2.93E-03
10.58,5.35E-04
10.6,6.39E-04
10.62,3.36E-03
10.64,7.84E-04
10.66,2.32E-03
10.68,7.44E-04
10.7,1.29E-03
10.72,9.82E-04
10.74,2.01E-03
10.76,2.75E-03
10.78,5.99E-04
10.8,-2.73E-04
10.82,1.04E-03
10.84,8.50E-05
10.86,2.81E-03
10.88,1.08E-03
10.9,5.23E-04
10.92,1.59E-03
10.94,1.03E-03
10.96,-9.96E-05
10.98,4.17E-04
11,-7.08E-04
11.02,-1.52E-03
11.04,-8.93E-04
11.06,-1.92E-04
11.08,-1.39E-03
11.1,8.42E-04
11.12,5.77E-04
11.14,-1.30E-04
11.16,-1.66E-03
11.18,-9.12E-04
11.2,-8.51E-04
11.22,-1.41E-03
11.24,-9.45E-04
11.26,4.34E-04
11.28,-1.15E-03
11.3,-1.26E-03
11.32,-1.17E-03
11.34,-5.83E-04
11.36,-4.92E-04
11.38,-8.71E-04
11.4,-3.68E-04
11.42,1.23E-03
11.44,2.07E-03
11.46,9.85E-03
11.48,2.56E-02
11.5,6.01E-02
11.52,1.33E-01
11.54,2.75E-01
11.56,4.88E-01
11.58,7.16E-01
11.6,8.69E-01
11.62,9.23E-01
11.64,9.20E-01
11.66,9.24E-01
11.68,9.23E-01
11.7,9.31E-01
11.72,9.56E-01
11.74,9.56E-01
11.76,9.70E-01
11.78,9.75E-01
11.8,9.81E-01
11.82,9.74E-01
11.84,9.80E-01
11.86,9.83E-01
11.88,9.72E-01
11.9,9.77E-01
11.92,9.74E-01
11.94,9.71E-01
11.96,9.76E-01
11.98,9.89E-01
12,9.79E-01
12.02,9.89E-01
12.04,9.91E-01
12.06,1.00E+00
12.08,9.87E-01
12.1,9.79E-01
12.12,9.74E-01
12.14,9.68E-01
12.16,9.58E-01
12.18,9.55E-01
12.2,9.44E-01
12.22,9.44E-01
12.24,9.41E-01
12.26,9.33E-01
12.28,9.41E-01
12.3,9.40E-01
12.32,9.41E-01
12.34,9.34E-01
12.36,9.31E-01
12.38,9.28E-01
12.4,9.25E-01
12.42,9.25E-01
12.44,9.14E-01
12.46,9.06E-01
12.48,8.93E-01
12.5,8.45E-01
12.52,7.20E-01
12.54,5.60E-01
12.56,3.74E-01
12.58,2.18E-01
12.6,1.17E-01
12.62,5.07E-02
12.64,2.50E-02
12.66,1.26E-02
12.68,5.27E-03
12.7,1.76E-03
12.72,-2.02E-03
12.74,5.13E-04
12.76,1.53E-03
12.78,-1.52E-03
12.8,-3.11E-03
12.82,2.23E-03
12.84,1.09E-03
12.86,-6.97E-04
12.88,1.57E-03
12.9,-2.81E-03
12.92,-3.60E-03
12.94,1.12E-03
12.96,-2.87E-03
12.98,5.27E-04
13,2.11E-03
13.02,3.05E-03
13.04,1.77E-03
13.06,3.11E-03
13.08,2.18E-03
13.1,4.23E-03
13.12,6.59E-04
13.14,-3.92E-03
13.16,3.14E-03
13.18,-2.85E-03
13.2,-2.95E-03
13.22,1.19E-03
13.24,2.91E-03
13.26,8.31E-03
13.28,1.11E-03
13.3,1.31E-03
13.32,-1.04E-03
13.34,1.01E-03
13.36,9.39E-04
13.38,-3.02E-03
13.4,-1.05E-03
13.42,-2.01E-03
13.44,-4.96E-03
13.46,-1.89E-03
13.48,2.04E-03
13.5,8.16E-04
13.52,5.89E-04
13.54,4.04E-03
13.56,3.87E-04
13.58,1.45E-03
13.6,5.11E-04
13.62,3.82E-03
13.64,6.40E-03
13.66,1.30E-03
13.68,3.37E-03
13.7,5.20E-03
13.72,3.05E-03
13.74,3.82E-04
13.76,6.13E-05
13.78,-1.20E-03
13.8,-3.85E-03
13.82,4.86E-03
13.84,-3.24E-03
13.86,-8.75E-04
13.88,6.55E-03
13.9,-9.48E-05
13.92,3.92E-03
13.94,-1.68E-03
13.96,-3.25E-03
13.98,-2.45E-03
14,1.91E-03
