%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M1
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M1   342.99750   1.0000000E-10
   M1   348.50800   1.0000000E-10
   M1   354.00450   1.0000000E-10
   M1   359.49950   1.0000000E-10
   M1   364.99550   1.0000000E-10
   M1   370.49500   1.0000000E-10
   M1   374.99200   1.0000000E-10
   M1   378.99300   1.0000000E-10
   M1   382.99550   1.0000000E-10
   M1   386.99600   1.0000000E-10
   M1   391.00150   1.9200470E-05
   M1   394.48600   0.0003831
   M1   394.99800   0.0004400
   M1   395.46200   0.0005478
   M1   395.95100   0.0007109
   M1   396.44000   0.0012153
   M1   396.95700   0.0027447
   M1   397.10000   0.0035084
   M1   397.21100   0.0043129
   M1   397.46000   0.0072576
   M1   397.54800   0.0084056
   M1   397.79600   0.0143706
   M1   397.96200   0.0215462
   M1   398.03400   0.0245591
   M1   398.29000   0.0433504
   M1   398.46400   0.0673867
   M1   398.52500   0.0741250
   M1   398.75900   0.1167371
   M1   398.98600   0.1676183
   M1   398.98900   0.1715631
   M1   399.21000   0.2258447
   M1   399.43100   0.2825920
   M1   399.58600   0.3222650
   M1   399.65800   0.3385156
   M1   399.84000   0.3780739
   M1   399.86800   0.3851670
   M1   400.10300   0.4200021
   M1   400.29900   0.4371749
   M1   400.33100   0.4385437
   M1   400.51200   0.4486580
   M1   400.78200   0.4643720
   M1   400.80700   0.4656818
   M1   401.26600   0.4986177
   M1   401.74000   0.5253600
   M1   402.23800   0.5469496
   M1   402.74800   0.5680079
   M1   403.24400   0.5840974
   M1   403.71200   0.6026073
   M1   403.80700   0.6088426
   M1   403.93600   0.6129744
   M1   404.29600   0.6307536
   M1   404.80600   0.6475372
   M1   405.36900   0.6676547
   M1   405.95200   0.6978468
   M1   406.55000   0.7288355
   M1   407.14900   0.7561434
   M1   407.74900   0.7818065
   M1   408.12400   0.7958301
   M1   408.61500   0.8080356
   M1   409.13700   0.8124638
   M1   409.38800   0.8139647
   M1   409.64900   0.8129950
   M1   410.12600   0.8132966
   M1   410.34800   0.8123396
   M1   410.80700   0.8074415
   M1   411.24100   0.8013448
   M1   411.67300   0.8119739
   M1   412.11100   0.8460299
   M1   412.56500   0.8929383
   M1   413.00900   0.9273508
   M1   413.46400   0.9399641
   M1   413.68100   0.9389181
   M1   413.93900   0.9341343
   M1   414.11100   0.9310396
   M1   414.29400   0.9286969
   M1   414.81100   0.9279590
   M1   414.95300   0.9318066
   M1   415.35500   0.9377400
   M1   415.48700   0.9427788
   M1   415.93400   0.9503612
   M1   416.16100   0.9526797
   M1   416.56600   0.9532346
   M1   417.08700   0.9526460
   M1   417.59700   0.9634750
   M1   417.66500   0.9596803
   M1   417.68400   0.9603152
   M1   417.79200   0.9643530
   M1   418.09400   0.9826949
   M1   418.31800   0.9850798
   M1   418.32600   0.9853779
   M1   418.44500   0.9893612
   M1   418.60100   1.0000000
   M1   418.98600   0.9964803
   M1   419.00100   0.9964348
   M1   419.07100   0.9994142
   M1   419.20900   0.9875400
   M1   419.55500   0.9512440
   M1   419.64400   0.9328599
   M1   419.64600   0.9328549
   M1   420.03900   0.8328765
   M1   420.04900   0.8324808
   M1   420.05000   0.8302335
   M1   420.18700   0.7884229
   M1   420.26900   0.7576308
   M1   420.30900   0.7445855
   M1   420.36600   0.7178238
   M1   420.37300   0.7132688
   M1   420.37500   0.7118974
   M1   420.38900   0.7070415
   M1   420.39200   0.7079480
   M1   420.41400   0.6991652
   M1   420.41600   0.6997665
   M1   420.42800   0.6947739
   M1   420.44200   0.6890769
   M1   420.44500   0.6867793
   M1   420.48100   0.6666086
   M1   420.51800   0.6573328
   M1   420.58500   0.6226589
   M1   420.90200   0.4472821
   M1   421.32100   0.2371766
   M1   421.73400   0.1274916
   M1   422.06700   0.0847039
   M1   422.19200   0.0740310
   M1   422.19300   0.0732866
   M1   422.53300   0.0516643
   M1   422.54300   0.0501835
   M1   422.70300   0.0412619
   M1   422.76300   0.0392181
   M1   423.00900   0.0277292
   M1   423.01000   0.0269529
   M1   423.22000   0.0186717
   M1   423.24200   0.0184299
   M1   423.47400   0.0116226
   M1   423.50600   0.0104664
   M1   423.73800   0.0070456
   M1   423.77500   0.0062128
   M1   424.00400   0.0044248
   M1   424.11800   0.0036480
   M1   424.36800   0.0027212
   M1   424.80200   0.0018624
   M1   424.97600   0.0016547
   M1   425.37100   0.0012503
   M1   425.55200   0.0011007
   M1   425.94100   0.0007825
   M1   426.11600   0.0006492
