%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M7
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M7   350.99700   1.0000000E-10
   M7   356.49550   1.0000000E-10
   M7   361.99000   1.0000000E-10
   M7   367.50300   1.0000000E-10
   M7   372.99450   1.0000000E-10
   M7   378.49200   1.0000000E-10
   M7   384.00150   1.0000000E-10
   M7   389.49100   1.0000000E-10
   M7   394.99850   1.0000000E-10
   M7   400.49800   1.0000000E-10
   M7   406.00250   1.0000000E-10
   M7   411.48900   1.0000000E-10
   M7   417.00650   1.0000000E-10
   M7   422.49850   1.0000000E-10
   M7   427.99550   1.0000000E-10
   M7   433.49750   1.0000000E-10
   M7   439.00900   1.0000000E-10
   M7   444.49950   1.0000000E-10
   M7   449.99400   1.0000000E-10
   M7   455.49600   1.0000000E-10
   M7   461.00200   1.0000000E-10
   M7   466.50250   1.0000000E-10
   M7   471.99500   1.0000000E-10
   M7   477.49200   1.0000000E-10
   M7   482.99400   1.0000000E-10
   M7   488.50750   1.0000000E-10
   M7   494.01050   1.0000000E-10
   M7   499.49350   1.0000000E-10
   M7   505.00100   1.0000000E-10
   M7   510.49850   1.0000000E-10
   M7   515.99150   1.0000000E-10
   M7   521.50100   1.0000000E-10
   M7   526.99600   1.0000000E-10
   M7   532.50750   1.0000000E-10
   M7   537.99350   4.6310020E-07
   M7   543.49400   3.7548660E-07
   M7   549.00400   1.0000000E-10
   M7   554.50300   1.0000000E-10
   M7   560.01050   1.0000000E-10
   M7   565.50000   1.0000000E-10
   M7   571.00800   1.0000000E-10
   M7   576.49650   4.8813270E-07
   M7   581.99950   1.0000000E-10
   M7   587.50700   1.0000000E-10
   M7   593.00500   1.0000000E-10
   M7   598.51200   4.6310020E-07
   M7   603.99800   5.6322990E-07
   M7   609.49800   6.3206910E-07
   M7   614.99250   6.9465020E-07
   M7   620.50300   1.4831720E-06
   M7   625.99500   8.3232860E-07
   M7   631.50600   1.6896900E-06
   M7   637.00950   1.3361070E-05
   M7   642.49550   4.3180960E-06
   M7   647.99750   1.6571470E-05
   M7   653.49850   6.9652760E-06
   M7   657.73400   5.9400000E-05
   M7   658.24900   5.6800000E-05
   M7   658.73100   8.4800000E-05
   M7   659.23400   9.3200000E-05
   M7   659.27100   7.2800000E-05
   M7   659.71800   0.0001098
   M7   659.76100   9.3800000E-05
   M7   659.76900   0.0001675
   M7   660.27800   0.0001104
   M7   660.35700   0.0001769
   M7   660.77800   0.0001316
   M7   660.86600   0.0001798
   M7   661.28400   0.0001413
   M7   661.36600   0.0001860
   M7   661.80500   0.0001706
   M7   661.88100   0.0002451
   M7   662.28400   0.0001880
   M7   662.36900   0.0002624
   M7   662.79500   0.0002293
   M7   662.84400   0.0002583
   M7   663.31900   0.0002360
   M7   663.36300   0.0002890
   M7   663.80700   0.0002479
   M7   663.87500   0.0002847
   M7   664.30100   0.0002754
   M7   664.35500   0.0002968
   M7   664.78800   0.0002664
   M7   664.85700   0.0002847
   M7   665.35300   0.0003328
   M7   665.35700   0.0002797
