#DAWG J2 VIIRS Band Average RSR Release V1 Band M11                                                                                                                                  
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M11     2303.080   0.2531616E-02
 M11     2304.400   0.2058643E-02
 M11     2305.695   0.1691086E-02
 M11     2307.010   0.1411156E-02
 M11     2308.305   0.1195171E-02
 M11     2309.620   0.9950717E-03
 M11     2310.885   0.8694191E-03
 M11     2314.020   0.6168796E-03
 M11     2328.995   0.9449139E-04
 M11     2343.995   0.1797647E-04
 M11     2359.990   0.8028022E-05
 M11     2375.990   0.2613043E-05
 M11     2391.995   0.1158554E-05
 M11     2407.995   0.1000000E-09
 M11     2424.010   0.1000000E-09
 M11     2434.000   0.3274174E-06
 M11     2449.995   0.1000000E-09
 M11     2465.995   0.1000000E-09
 M11     2482.010   0.1000000E-09
 M11     2498.010   0.1000000E-09
 M11     2514.015   0.1000000E-09
 M11     2530.000   0.1000000E-09
 M11     2546.000   0.1000000E-09
 M11     2562.005   0.1000000E-09
 M11     2577.995   0.1000000E-09
 M11     2593.995   0.1000000E-09
 M11     2610.000   0.1000000E-09
 M11     2626.005   0.1000000E-09
 M11     2642.000   0.1000000E-09
 M11     2658.000   0.1000000E-09
 M11     2673.990   0.1000000E-09
 M11     2690.005   0.1000000E-09
 M11     2706.000   0.1000000E-09
 M11     2721.995   0.1000000E-09
 M11     2738.005   0.1000000E-09
 M11     2754.000   0.1000000E-09
 M11     2769.995   0.1000000E-09
 M11     2786.010   0.1000000E-09
 M11     2801.990   0.1000000E-09
 M11     2817.995   0.1000000E-09
 M11     2833.995   0.1000000E-09
 M11     2850.000   0.1000000E-09
 M11     2866.005   0.1000000E-09
 M11     2882.000   0.1000000E-09
 M11     2898.000   0.1000000E-09
 M11     2914.000   0.1000000E-09
 M11     2930.010   0.1000000E-09
 M11     2975.965   0.1000000E-09
 M11     3040.995   0.1000000E-09
 M11     3105.970   0.1000000E-09
 M11     3171.010   0.3935305E-05
 M11     3236.055   0.1020031E-05
 M11     3301.000   0.6151669E-05
 M11     3366.010   0.1000000E-09
 M11     3431.040   0.1000000E-09
 M11     3495.985   0.1000000E-09
 M11     3560.940   0.1832278E-05
 M11     3625.920   0.3532330E-05
 M11     3690.995   0.1000000E-09
 M11     3756.025   0.1000000E-09
 M11     3820.970   0.1000000E-09
 M11     3886.005   0.1000000E-09
 M11     3951.060   0.1000000E-09
 M11     4015.970   0.1000000E-09
 M11     4081.000   0.1000000E-09
 M11     4145.945   0.1000000E-09
 M11     4211.040   0.1000000E-09
 M11     4275.990   0.1000000E-09
 M11     4341.020   0.1000000E-09
 M11     4405.915   0.1000000E-09
 M11     4470.960   0.1580418E-04
 M11     4536.030   0.2229587E-04
 M11     4600.995   0.1000000E-09
 M11     4666.015   0.1000000E-09
 M11     4730.940   0.1000000E-09
 M11     4795.995   0.1000000E-09
 M11     4861.040   0.1000000E-09
 M11     4925.950   0.1000000E-09
 M11     4990.960   0.1000000E-09
