%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band  DNBLGS
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Wavelength data subsampled to reduce number of data points to less than 1000 to meet LUT limits
%Band   wvl_nm         RSR
 DNBL   577.92800   0.7496133
 DNBL   578.28400   0.7464567
 DNBL   578.82000   0.7458898
 DNBL   579.29500   0.7419995
 DNBL   579.82200   0.7408635
 DNBL   580.28800   0.7391363
 DNBL   580.84000   0.7400495
 DNBL   581.30000   0.7396351
 DNBL   581.79500   0.7396439
 DNBL   582.28200   0.7426196
 DNBL   582.77900   0.7447564
 DNBL   583.76400   0.7543414
 DNBL   584.25000   0.7601858
 DNBL   584.77700   0.7636424
 DNBL   585.25000   0.7674892
 DNBL   585.77700   0.7682448
 DNBL   586.25300   0.7702834
 DNBL   586.77000   0.7701608
 DNBL   587.26600   0.7719982
 DNBL   587.83200   0.7725458
 DNBL   588.28300   0.7725782
 DNBL   588.79600   0.7700743
 DNBL   588.82300   0.7601603
 DNBL   588.84800   0.7714345
 DNBL   589.31500   0.7697383
 DNBL   589.82100   0.7671085
 DNBL   590.28700   0.7662034
 DNBL   590.80800   0.7646602
 DNBL   591.28600   0.7637631
 DNBL   591.78600   0.7628932
 DNBL   592.28600   0.7617840
 DNBL   592.79700   0.7592709
 DNBL   593.29400   0.7580136
 DNBL   593.79600   0.7560337
 DNBL   594.28100   0.7540052
 DNBL   594.82900   0.7549553
 DNBL   595.27400   0.7559408
 DNBL   595.79500   0.7564976
 DNBL   596.29000   0.7586789
 DNBL   596.81400   0.7594126
 DNBL   597.31100   0.7618017
 DNBL   597.82500   0.7621494
 DNBL   598.31700   0.7643146
 DNBL   598.85000   0.7676743
 DNBL   599.33000   0.7695161
 DNBL   599.84600   0.7707421
 DNBL   600.33200   0.7723266
 DNBL   600.83200   0.7717612
 DNBL   601.30400   0.7720587
 DNBL   601.83000   0.7712264
 DNBL   602.29300   0.7716808
 DNBL   602.81700   0.7711644
 DNBL   603.27200   0.7713515
 DNBL   603.79500   0.7745589
 DNBL   604.31900   0.7766330
 DNBL   604.78500   0.7766018
 DNBL   605.27200   0.7778869
 DNBL   605.79000   0.7777941
 DNBL   606.85300   0.7812791
 DNBL   607.79900   0.7849520
 DNBL   608.23800   0.7857348
 DNBL   608.78700   0.7874239
 DNBL   609.23300   0.7874004
 DNBL   609.94600   0.7883662
 DNBL   610.29300   0.7892359
 DNBL   610.79400   0.7904809
 DNBL   611.29700   0.7909730
 DNBL   611.85700   0.7928540
 DNBL   612.30200   0.7943937
 DNBL   612.81400   0.7933116
 DNBL   613.32900   0.7935448
 DNBL   613.78400   0.7931786
 DNBL   614.30500   0.7933759
 DNBL   614.80500   0.7928007
 DNBL   615.27100   0.7940674
 DNBL   615.76100   0.7951377
 DNBL   616.25900   0.7959996
 DNBL   616.74800   0.7974157
 DNBL   617.25100   0.7969501
 DNBL   617.74100   0.7966062
 DNBL   618.25500   0.7970315
 DNBL   618.81300   0.7994940
 DNBL   619.26900   0.8015566
 DNBL   619.78300   0.8039723
 DNBL   620.23600   0.8074899
 DNBL   620.74100   0.8096828
 DNBL   621.22400   0.8109717
 DNBL   621.72000   0.8126022
 DNBL   622.21000   0.8134820
 DNBL   622.70000   0.8143219
 DNBL   623.21400   0.8168894
 DNBL   623.69400   0.8205181
 DNBL   624.18200   0.8234155
 DNBL   624.65500   0.8260965
 DNBL   625.16500   0.8282196
