%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M9
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M9  1405.54000   0.0004982
   M9  1406.01200   0.0004338
   M9  1407.81700   0.0002475
   M9  1408.31700   0.0002163
   M9  1408.76000   0.0001792
   M9  1409.16800   0.0001460
   M9  1409.69000   0.0001389
   M9  1412.60500   6.3900000E-05
   M9  1414.70300   3.7100000E-05
   M9  1414.73000   3.6500000E-05
   M9  1415.69600   2.8200000E-05
   M9  1417.12600   2.1200000E-05
   M9  1418.58700   1.4800000E-05
   M9  1420.10200   1.2200000E-05
   M9  1421.79500   7.9000000E-06
   M9  1433.98500   1.4145850E-06
   M9  1447.99000   8.7629160E-07
   M9  1461.99500   7.5110720E-07
   M9  1476.00000   5.5081190E-07
   M9  1490.00000   4.2562740E-07
   M9  1503.99500   3.8807200E-07
   M9  1518.00000   3.5051670E-07
   M9  1531.99000   2.3785060E-07
   M9  1545.99500   1.6273990E-07
   M9  1559.99500   1.3770300E-07
   M9  1574.00500   3.0044290E-07
   M9  1587.98000   4.0059050E-07
   M9  1602.01000   3.6303510E-07
   M9  1616.01000   3.2547980E-07
   M9  1630.00000   5.1325650E-07
   M9  1644.00500   6.8851490E-07
   M9  1658.00000   7.1355170E-07
   M9  1672.00000   5.1325650E-07
   M9  1685.98500   4.2562740E-07
   M9  1700.00000   2.3785060E-07
   M9  1713.99500   1.0000000E-10
   M9  1728.00000   1.0000000E-10
   M9  1742.01500   1.0000000E-10
   M9  1755.99000   1.0000000E-10
   M9  1770.00000   1.0000000E-10
   M9  1783.99500   1.0000000E-10
   M9  1798.02000   1.0000000E-10
   M9  1812.00500   1.0000000E-10
   M9  1826.00000   1.0000000E-10
   M9  1840.01500   1.0000000E-10
   M9  1853.98500   1.0000000E-10
   M9  1867.98500   1.0000000E-10
   M9  1881.99500   1.0000000E-10
   M9  1896.00500   1.0000000E-10
   M9  1910.01000   1.0000000E-10
   M9  1923.98000   1.0000000E-10
