#DAWG J2 VIIRS Band Average RSR Release V1 Band M16                                                                                                                                  
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                         
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
  M16   11157.150   0.1792619E-02
  M16   11222.050   0.3064992E-02
  M16   11286.850   0.7121367E-02
  M16   11352.050   0.2327071E-01
  M16   11417.000   0.1093098E+00
  M16   11481.850   0.5205036E+00
  M16   11546.950   0.9228542E+00
  M16   11612.050   0.9348858E+00
  M16   11677.100   0.9800757E+00
  M16   11741.950   0.1000000E+01
  M16   11807.050   0.9924119E+00
  M16   11872.050   0.9857308E+00
  M16   11937.000   0.9791303E+00
  M16   12002.000   0.9483244E+00
  M16   12067.000   0.9056315E+00
  M16   12131.850   0.8754513E+00
  M16   12197.050   0.8545254E+00
  M16   12262.100   0.8540151E+00
  M16   12326.950   0.7996530E+00
  M16   12391.900   0.5699053E+00
  M16   12457.100   0.2449681E+00
  M16   12521.850   0.7826662E-01
  M16   12587.050   0.2661014E-01
  M16   12652.100   0.1011182E-01
  M16   12716.950   0.4242566E-02
  M16   12781.950   0.2156813E-02
  M16   12846.850   0.9425082E-03
  M16   12976.900   0.2382250E-03
  M16   13106.900   0.4766900E-04
  M16   13236.900   0.1000000E-09
  M16   13366.950   0.1000000E-09
  M16   13497.100   0.1000000E-09
  M16   13627.000   0.1000000E-09
  M16   13757.150   0.1000000E-09
  M16   13886.900   0.1000000E-09
  M16   14017.000   0.1000000E-09
  M16   14146.950   0.1000000E-09
  M16   14277.000   0.1000000E-09
  M16   14407.000   0.1000000E-09
  M16   14537.050   0.1000000E-09
  M16   14666.950   0.1000000E-09
  M16   14796.950   0.1000000E-09
  M16   14927.000   0.1000000E-09
  M16   15057.050   0.1000000E-09
  M16   15187.000   0.1000000E-09
  M16   15317.000   0.1000000E-09
  M16   15447.000   0.1000000E-09
  M16   15576.950   0.1000000E-09
  M16   15706.950   0.1000000E-09
  M16   15837.000   0.1000000E-09
  M16   15967.050   0.1000000E-09
  M16   16096.950   0.1000000E-09
