%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M8
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M8   995.99300   1.0000000E-10
   M8  1012.01000   1.0000000E-10
   M8  1028.02000   1.0000000E-10
   M8  1044.00000   1.0000000E-10
   M8  1060.01000   1.0000000E-10
   M8  1076.01000   1.0000000E-10
   M8  1092.02000   1.0000000E-10
   M8  1107.99500   1.0000000E-10
   M8  1124.01000   1.0000000E-10
   M8  1139.99500   1.0000000E-10
   M8  1156.00000   1.0000000E-10
   M8  1172.00500   1.0000000E-10
   M8  1187.98500   3.3809990E-07
   M8  1204.01500   1.2397000E-06
   M8  1208.00500   3.6189210E-06
   M8  1208.76900   1.2000000E-05
   M8  1210.86200   1.2700000E-05
   M8  1213.54200   2.0100000E-05
   M8  1214.81900   3.4500000E-05
   M8  1214.94800   3.3500000E-05
   M8  1217.28300   9.3700000E-05
   M8  1217.84200   0.0001213
   M8  1218.31500   0.0001466
   M8  1219.67600   0.0002742
   M8  1219.69500   0.0002819
   M8  1220.42800   0.0004280
   M8  1221.90700   0.0009046
   M8  1222.26300   0.0011704
   M8  1222.61600   0.0013885
   M8  1222.61900   0.0013972
   M8  1222.99400   0.0017493
   M8  1223.89700   0.0030086
   M8  1225.17300   0.0070535
   M8  1225.63400   0.0097543
   M8  1225.94900   0.0125020
   M8  1226.21500   0.0153448
   M8  1226.23400   0.0152559
   M8  1227.11200   0.0311623
   M8  1228.08700   0.0642402
   M8  1228.15200   0.0709935
   M8  1228.21600   0.0735053
   M8  1229.14100   0.1494368
   M8  1229.21700   0.1742417
   M8  1229.24800   0.1769402
   M8  1230.71000   0.4330589
   M8  1231.45200   0.5714680
   M8  1231.63600   0.5942752
   M8  1231.90600   0.6590600
