%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band  DNBMGS
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Wavelength data subsampled to reduce number of data points to less than 1000 to meet LUT limits
%Band   wvl_nm         RSR
 DNBM   554.16500   0.8288078
 DNBM   554.48300   0.8276236
 DNBM   555.02300   0.8252996
 DNBM   555.50200   0.8232472
 DNBM   555.87500   0.8216874
 DNBM   556.37500   0.8204522
 DNBM   556.85700   0.8200089
 DNBM   557.28300   0.8204082
 DNBM   557.76900   0.8207382
 DNBM   558.31400   0.8221214
 DNBM   558.71500   0.8232851
 DNBM   559.17800   0.8239309
 DNBM   559.68300   0.8245803
 DNBM   560.22200   0.8250547
 DNBM   560.69300   0.8254213
 DNBM   560.84700   0.8257942
 DNBM   560.97600   0.8289831
 DNBM   561.41800   0.8271527
 DNBM   561.59100   0.8278365
 DNBM   561.96700   0.8290723
 DNBM   562.21900   0.8315109
 DNBM   562.44800   0.8329827
 DNBM   562.85200   0.8366677
 DNBM   563.17500   0.8414790
 DNBM   563.37300   0.8418038
 DNBM   563.68900   0.8447541
 DNBM   563.94500   0.8464998
 DNBM   564.33600   0.8508471
 DNBM   564.90100   0.8549831
 DNBM   565.21000   0.8569781
 DNBM   565.50600   0.8577877
 DNBM   565.69400   0.8581591
 DNBM   565.91700   0.8585299
 DNBM   566.07200   0.8583286
 DNBM   566.47300   0.8582120
 DNBM   566.79700   0.8564366
 DNBM   567.22800   0.8549022
 DNBM   567.79500   0.8540471
 DNBM   568.01800   0.8549747
 DNBM   568.13300   0.8547763
 DNBM   568.43900   0.8531863
 DNBM   568.82700   0.8522005
 DNBM   569.29600   0.8526531
 DNBM   569.82200   0.8533699
 DNBM   570.82700   0.8561467
 DNBM   571.30100   0.8574087
 DNBM   571.82300   0.8578086
 DNBM   572.29600   0.8582452
 DNBM   572.82000   0.8577285
 DNBM   573.29100   0.8578919
 DNBM   573.82600   0.8578326
 DNBM   574.29000   0.8590843
 DNBM   574.83600   0.8608335
 DNBM   575.28700   0.8635636
 DNBM   575.82900   0.8666633
 DNBM   576.29500   0.8699657
 DNBM   576.87500   0.8728496
 DNBM   577.28900   0.8743179
 DNBM   577.79000   0.8747987
 DNBM   577.92800   0.8750761
 DNBM   578.28400   0.8738065
 DNBM   578.82000   0.8714370
 DNBM   579.29500   0.8687926
 DNBM   579.82200   0.8650018
 DNBM   580.28800   0.8625141
 DNBM   580.84000   0.8599799
 DNBM   581.30000   0.8595208
 DNBM   581.79500   0.8599181
 DNBM   582.28200   0.8624075
 DNBM   582.77900   0.8659172
 DNBM   583.76400   0.8764218
 DNBM   584.25000   0.8820670
 DNBM   584.77700   0.8868314
 DNBM   585.25000   0.8911079
 DNBM   585.77700   0.8940596
 DNBM   586.25300   0.8965813
 DNBM   586.77000   0.8974206
 DNBM   587.26600   0.8977617
 DNBM   587.83200   0.8967369
 DNBM   588.28300   0.8956656
 DNBM   588.79600   0.8939458
 DNBM   588.82300   0.8823171
 DNBM   588.84800   0.8944758
 DNBM   589.31500   0.8931586
 DNBM   589.82100   0.8917475
 DNBM   590.28700   0.8898816
 DNBM   590.80800   0.8886280
 DNBM   591.28600   0.8858807
 DNBM   591.78600   0.8833892
 DNBM   592.28600   0.8815987
 DNBM   592.79700   0.8788757
 DNBM   593.29400   0.8763051
 DNBM   593.79600   0.8744334
 DNBM   594.28100   0.8731121
 DNBM   594.82900   0.8721200
 DNBM   595.27400   0.8715449
 DNBM   595.79500   0.8718666
 DNBM   596.29000   0.8735144
 DNBM   596.81400   0.8750454
 DNBM   597.31100   0.8769815
 DNBM   597.82500   0.8792070
 DNBM   598.31700   0.8816470
 DNBM   598.85000   0.8838995
 DNBM   599.33000   0.8853159
 DNBM   599.84600   0.8866188
 DNBM   600.33200   0.8877348
 DNBM   600.83200   0.8877805
 DNBM   601.30400   0.8881222
 DNBM   601.83000   0.8881551
 DNBM   602.29300   0.8879887
 DNBM   602.81700   0.8880991
 DNBM   603.27200   0.8885502
 DNBM   603.79500   0.8884009
 DNBM   604.31900   0.8898005
 DNBM   604.78500   0.8904010
 DNBM   605.27200   0.8915810
 DNBM   605.79000   0.8930067
 DNBM   606.85300   0.8963551
 DNBM   607.79900   0.8976289
 DNBM   608.23800   0.8990460
 DNBM   608.78700   0.8996238
 DNBM   609.23300   0.9002722
 DNBM   609.94600   0.9014532
 DNBM   610.29300   0.9015302
 DNBM   610.79400   0.9028460
 DNBM   611.29700   0.9032062
 DNBM   611.85700   0.9037323
 DNBM   612.30200   0.9039087
 DNBM   612.81400   0.9036762
 DNBM   613.32900   0.9044863
 DNBM   613.78400   0.9041414
 DNBM   614.30500   0.9042908
 DNBM   614.80500   0.9038754
 DNBM   615.27100   0.9037004
 DNBM   615.76100   0.9037395
 DNBM   616.25900   0.9038569
 DNBM   616.74800   0.9040875
 DNBM   617.25100   0.9044966
 DNBM   617.74100   0.9052454
 DNBM   618.25500   0.9059665
 DNBM   618.81300   0.9079489
 DNBM   619.26900   0.9094613
 DNBM   619.78300   0.9119182
 DNBM   620.23600   0.9142614
 DNBM   620.74100   0.9162337
 DNBM   621.22400   0.9177956
 DNBM   621.72000   0.9205199
 DNBM   622.21000   0.9226639
 DNBM   622.70000   0.9252906
 DNBM   623.21400   0.9270873
 DNBM   623.69400   0.9287242
 DNBM   624.18200   0.9307435
 DNBM   624.65500   0.9319344
 DNBM   625.16500   0.9341262
 DNBM   625.66500   0.9350532
 DNBM   626.19000   0.9373441
 DNBM   626.68900   0.9376888
 DNBM   627.16400   0.9387800
 DNBM   627.68000   0.9393162
 DNBM   628.17700   0.9405208
 DNBM   628.67700   0.9413559
 DNBM   629.16500   0.9433948
 DNBM   629.68000   0.9440021
 DNBM   630.19000   0.9445726
 DNBM   630.68200   0.9460046
 DNBM   631.41900   0.9484176
 DNBM   631.67700   0.9499839
 DNBM   632.19100   0.9517919
 DNBM   632.69100   0.9540081
 DNBM   633.19100   0.9555980
 DNBM   633.69800   0.9570936
 DNBM   634.23400   0.9590577
 DNBM   634.70700   0.9602400
 DNBM   635.21100   0.9615532
 DNBM   635.69400   0.9621519
 DNBM   636.20900   0.9625729
 DNBM   636.69400   0.9624952
 DNBM   637.26000   0.9620325
 DNBM   637.69500   0.9625949
 DNBM   638.27100   0.9625784
 DNBM   638.72200   0.9623692
 DNBM   639.29500   0.9626647
 DNBM   640.24400   0.9624989
 DNBM   640.86700   0.9631167
 DNBM   641.20900   0.9641141
 DNBM   641.32400   0.9637861
 DNBM   641.81000   0.9656606
 DNBM   642.19700   0.9667140
 DNBM   642.32300   0.9660645
 DNBM   642.77800   0.9667974
 DNBM   643.17700   0.9674612
 DNBM   643.31800   0.9672385
 DNBM   643.75700   0.9664900
 DNBM   644.32500   0.9677065
 DNBM   644.76900   0.9679082
 DNBM   645.24200   0.9682343
 DNBM   645.75300   0.9692180
 DNBM   646.26100   0.9696807
 DNBM   646.67100   0.9692634
 DNBM   646.88800   0.9694372
 DNBM   647.26400   0.9695689
 DNBM   647.73100   0.9706535
 DNBM   648.17900   0.9723962
 DNBM   648.32100   0.9722442
 DNBM   648.73300   0.9732346
 DNBM   649.20400   0.9750547
 DNBM   649.73500   0.9758879
 DNBM   650.22800   0.9760058
 DNBM   650.74400   0.9764837
