#DAWG J2 VIIRS Band Average RSR Release V1 Band M14 
#Based upon VCST August 7, 2018 RSR Analysis                                                        
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2018               
#Band     wvl_um        RSR                                                                         
 M14    1799.995    0.1000000E-09 
 M14    1816.000    0.1000000E-09 
 M14    1831.990    0.1000000E-09 
 M14    1848.000    0.1000000E-09 
 M14    1863.995    0.1000000E-09 
 M14    1879.980    0.1000000E-09 
 M14    1896.005    0.1000000E-09 
 M14    1911.995    0.1000000E-09 
 M14    1928.010    0.1000000E-09 
 M14    1943.995    0.1000000E-09 
 M14    1960.005    0.1000000E-09 
 M14    1976.000    0.1000000E-09 
 M14    1992.010    0.1000000E-09 
 M14    2008.000    0.1000000E-09 
 M14    2023.990    0.1000000E-09 
 M14    2039.995    0.1000000E-09 
 M14    2055.980    0.1000000E-09 
 M14    2072.005    0.1000000E-09 
 M14    2088.000    0.1000000E-09 
 M14    2104.000    0.1000000E-09 
 M14    2120.005    0.1000000E-09 
 M14    2135.990    0.1000000E-09 
 M14    2151.995    0.1000000E-09 
 M14    2167.985    0.1000000E-09 
 M14    2184.005    0.1000000E-09 
 M14    2200.000    0.1000000E-09 
 M14    2216.000    0.1000000E-09 
 M14    2232.005    0.1000000E-09 
 M14    2248.005    0.1000000E-09 
 M14    2264.000    0.1000000E-09 
 M14    2280.005    0.1000000E-09 
 M14    2296.000    0.1000000E-09 
 M14    2311.985    0.1000000E-09 
 M14    2327.995    0.1000000E-09 
 M14    2343.995    0.1000000E-09 
 M14    2359.990    0.1000000E-09 
 M14    2375.990    0.1000000E-09 
 M14    2391.995    0.1000000E-09 
 M14    2407.995    0.1000000E-09 
 M14    2424.010    0.1000000E-09 
 M14    2434.000    0.1000000E-09 
 M14    2449.995    0.1000000E-09 
 M14    2465.995    0.1000000E-09 
 M14    2482.010    0.1000000E-09 
 M14    2498.010    0.1000000E-09 
 M14    2514.015    0.1000000E-09 
 M14    2530.000    0.1000000E-09 
 M14    2546.000    0.1000000E-09 
 M14    2562.005    0.1000000E-09 
 M14    2577.995    0.1000000E-09 
 M14    2593.995    0.1000000E-09 
 M14    2610.000    0.1000000E-09 
 M14    2626.005    0.1000000E-09 
 M14    2642.000    0.1000000E-09 
 M14    2658.000    0.1000000E-09 
 M14    2673.990    0.1000000E-09 
 M14    2690.005    0.1000000E-09 
 M14    2706.000    0.1000000E-09 
 M14    2721.995    0.1000000E-09 
 M14    2738.005    0.1000000E-09 
 M14    2754.000    0.1000000E-09 
 M14    2769.995    0.1000000E-09 
 M14    2786.010    0.1000000E-09 
 M14    2801.990    0.1000000E-09 
 M14    2817.995    0.1000000E-09 
 M14    2833.995    0.1000000E-09 
 M14    2850.000    0.1000000E-09 
 M14    2866.005    0.1000000E-09 
 M14    2882.000    0.1000000E-09 
 M14    2898.000    0.1000000E-09 
 M14    2914.000    0.1000000E-09 
 M14    2930.010    0.1000000E-09 
 M14    2964.915    0.1000000E-09 
 M14    3030.005    0.1000000E-09 
 M14    3095.030    0.1000000E-09 
 M14    3159.970    0.1000000E-09 
 M14    3224.995    0.1000000E-09 
 M14    3289.960    0.1000000E-09 
 M14    3354.990    0.1000000E-09 
 M14    3419.930    0.1000000E-09 
 M14    3485.025    0.1000000E-09 
 M14    3550.000    0.1000000E-09 
 M14    3615.080    0.1000000E-09 
 M14    3679.985    0.1000000E-09 
 M14    3744.925    0.1000000E-09 
 M14    3809.935    0.1000000E-09 
 M14    3875.020    0.1000000E-09 
 M14    3940.000    0.1000000E-09 
 M14    4004.990    0.1000000E-09 
 M14    4070.050    0.1000000E-09 
