#DAWG J2 VIIRS Band Average RSR Release V1 Band M16B                                                                                                                                 
#Based upon VCST August 7, 2018 RSR Analysis                                                                                                                                           
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017                                                                                                
#Band     wvl_um        RSR                                                                                                                                                          
 M16B   10117.050   0.1000000E-09
 M16B   10247.100   0.1000000E-09
 M16B   10376.950   0.1000000E-09
 M16B   10507.000   0.1000000E-09
 M16B   10637.050   0.1000000E-09
 M16B   10767.050   0.1013977E-03
 M16B   10897.000   0.5299436E-03
 M16B   11027.200   0.1476899E-02
 M16B   11092.050   0.1524605E-02
 M16B   11157.150   0.1828654E-02
 M16B   11222.050   0.3085057E-02
 M16B   11286.850   0.7124363E-02
 M16B   11352.050   0.2309222E-01
 M16B   11417.000   0.1067419E+00
 M16B   11481.850   0.5112298E+00
 M16B   11546.950   0.9405965E+00
 M16B   11612.050   0.9487510E+00
 M16B   11677.100   0.9793931E+00
 M16B   11741.950   0.1000000E+01
 M16B   11807.050   0.9900557E+00
 M16B   11872.050   0.9847223E+00
 M16B   11937.000   0.9757814E+00
 M16B   12002.000   0.9515969E+00
 M16B   12067.000   0.9177463E+00
 M16B   12131.850   0.8976706E+00
 M16B   12197.050   0.8805392E+00
 M16B   12262.100   0.8872204E+00
 M16B   12326.950   0.8331530E+00
 M16B   12391.900   0.5958500E+00
 M16B   12457.100   0.2560154E+00
 M16B   12521.850   0.8131364E-01
 M16B   12587.050   0.2764551E-01
 M16B   12652.100   0.1051657E-01
 M16B   12716.950   0.4378457E-02
 M16B   12781.950   0.2276971E-02
 M16B   12846.850   0.9282159E-03
 M16B   12976.900   0.2305294E-03
 M16B   13106.900   0.1000000E-09
 M16B   13236.900   0.1000000E-09
 M16B   13366.950   0.1000000E-09
 M16B   13497.100   0.1000000E-09
 M16B   13627.000   0.1000000E-09
 M16B   13757.150   0.1000000E-09
 M16B   13886.900   0.1000000E-09
 M16B   14017.000   0.1000000E-09
 M16B   14146.950   0.1000000E-09
 M16B   14277.000   0.1000000E-09
 M16B   14407.000   0.1000000E-09
 M16B   14537.050   0.1000000E-09
 M16B   14666.950   0.1000000E-09
 M16B   14796.950   0.1000000E-09
 M16B   14927.000   0.1000000E-09
 M16B   15057.050   0.1000000E-09
 M16B   15187.000   0.1000000E-09
 M16B   15317.000   0.1000000E-09
 M16B   15447.000   0.1000000E-09
 M16B   15576.950   0.1000000E-09
 M16B   15706.950   0.1000000E-09
 M16B   15837.000   0.1000000E-09
 M16B   15967.050   0.1000000E-09
 M16B   16096.950   0.1000000E-09
