%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M6
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M6   714.69200   4.3100000E-05
   M6   715.59900   4.4400000E-05
   M6   716.77300   4.8100000E-05
   M6   717.67000   5.0500000E-05
   M6   717.74800   4.9700000E-05
   M6   718.59900   5.0400000E-05
   M6   718.84200   5.1600000E-05
   M6   719.74100   5.4900000E-05
   M6   719.76000   5.4600000E-05
   M6   720.65100   5.8800000E-05
   M6   721.60000   6.3900000E-05
   M6   722.69100   7.1200000E-05
   M6   723.67400   7.9400000E-05
   M6   724.54300   9.1600000E-05
   M6   727.60800   0.0001880
   M6   728.89600   0.0002244
   M6   729.32700   0.0002487
   M6   729.78000   0.0003260
   M6   729.81500   0.0002932
   M6   730.23200   0.0003292
   M6   730.67300   0.0004167
   M6   730.76600   0.0003833
   M6   731.18500   0.0004466
   M6   731.54800   0.0005517
   M6   731.75000   0.0005355
   M6   732.11300   0.0006362
   M6   732.65800   0.0008078
   M6   732.76500   0.0008759
   M6   733.22900   0.0010370
   M6   733.66100   0.0013336
   M6   733.66400   0.0013175
   M6   734.20500   0.0017789
   M6   734.59500   0.0022590
   M6   734.63100   0.0022895
   M6   735.12900   0.0032245
   M6   735.54500   0.0044431
   M6   735.56300   0.0044859
   M6   736.11500   0.0072449
   M6   736.49400   0.0105141
   M6   736.54400   0.0110114
   M6   737.11500   0.0205438
   M6   737.67300   0.0400881
   M6   737.69200   0.0405978
   M6   737.69700   0.0412354
   M6   737.78200   0.0457132
   M6   738.14000   0.0719123
   M6   738.24000   0.0814608
   M6   738.24700   0.0825022
   M6   738.63300   0.1332951
   M6   738.67500   0.1399298
   M6   738.76700   0.1566471
   M6   739.09100   0.2279812
   M6   739.16400   0.2429949
   M6   739.46000   0.3356594
   M6   739.58200   0.3772536
   M6   739.62200   0.3912327
   M6   739.98400   0.5290023
   M6   740.02100   0.5436073
   M6   740.17400   0.6052862
   M6   740.41200   0.6964844
   M6   740.56500   0.7529070
   M6   740.60800   0.7670542
   M6   740.91000   0.8574205
   M6   740.99400   0.8779155
   M6   741.17800   0.9151060
   M6   741.36600   0.9440134
   M6   741.73400   0.9775610
   M6   741.77200   0.9792561
   M6   742.21800   0.9941641
   M6   742.74800   0.9988843
   M6   743.26100   0.9996883
   M6   743.68900   0.9989212
   M6   744.16800   0.9977215
   M6   744.61400   0.9962271
   M6   745.12400   0.9956565
   M6   745.54000   0.9963317
   M6   746.10300   0.9973744
   M6   746.57600   0.9985637
   M6   747.26900   1.0000000
   M6   747.74500   0.9998103
   M6   747.79500   0.9996017
   M6   748.25100   0.9987379
   M6   748.25800   0.9986977
   M6   748.71400   0.9976912
   M6   749.19100   0.9963976
   M6   749.68200   0.9944130
   M6   750.13300   0.9927866
   M6   750.63100   0.9913119
   M6   751.10300   0.9892144
   M6   751.56100   0.9863379
   M6   752.10700   0.9807205
   M6   752.55000   0.9678612
   M6   752.84500   0.9509472
   M6   752.88500   0.9476180
   M6   752.95100   0.9421865
   M6   753.12900   0.9234375
   M6   753.35000   0.8941750
   M6   753.46600   0.8747929
   M6   753.79600   0.8062532
   M6   753.84600   0.7934499
   M6   754.26000   0.6714856
   M6   754.30300   0.6572337
   M6   754.32500   0.6495033
   M6   754.72900   0.5064064
   M6   754.76900   0.4920356
