#DAWG J2 VIIRS Band Average RSR Release V1 Band I5  
#Based upon VCST August 7, 2018 RSR Analysis                                                        
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2018               
#Band     wvl_um        RSR                                                                         
 I5     9070.025    0.1000000E-09 
 I5     9189.930    0.1000000E-09 
 I5     9309.870    0.1000000E-09 
 I5     9429.925    0.1000000E-09 
 I5     9550.150    0.1000000E-09 
 I5     9669.980    0.1000000E-09 
 I5     9756.920    0.1000000E-09 
 I5     9852.000    0.1000000E-09 
 I5     9946.905    0.1000000E-09 
 I5    10042.000    0.1000000E-09 
 I5    10137.050    0.1005602E-02 
 I5    10232.100    0.8721938E-03 
 I5    10327.050    0.1196027E-02 
 I5    10332.050    0.2010200E-02 
 I5    10411.950    0.2838377E-02 
 I5    10422.150    0.2884925E-02 
 I5    10492.100    0.1229288E-01 
 I5    10572.050    0.9242409E-01 
 I5    10651.900    0.6423470E+00 
 I5    10731.900    0.1000000E+01 
 I5    10812.000    0.9776789E+00 
 I5    10891.900    0.9392965E+00 
 I5    10972.050    0.9052307E+00 
 I5    11052.150    0.8890371E+00 
 I5    11132.050    0.8813800E+00 
 I5    11212.000    0.8568860E+00 
 I5    11291.950    0.8365605E+00 
 I5    11372.000    0.8150122E+00 
 I5    11451.950    0.8187233E+00 
 I5    11531.900    0.8301678E+00 
 I5    11612.050    0.8261150E+00 
 I5    11692.000    0.8045437E+00 
 I5    11772.050    0.7634995E+00 
 I5    11852.000    0.7458609E+00 
 I5    11932.050    0.7339419E+00 
 I5    12011.900    0.6924256E+00 
 I5    12092.000    0.6501161E+00 
 I5    12172.000    0.6149300E+00 
 I5    12252.000    0.5896806E+00 
 I5    12331.850    0.5403633E+00 
 I5    12412.000    0.4245597E+00 
 I5    12492.050    0.2021186E+00 
 I5    12571.950    0.6158245E-01 
 I5    12652.100    0.1723404E-01 
 I5    12732.050    0.5432003E-02 
 I5    12797.150    0.1856055E-02 
 I5    12812.050    0.2398458E-02 
 I5    12891.900    0.1000000E-09 
 I5    12986.900    0.1000000E-09 
 I5    13081.900    0.1000000E-09 
 I5    13177.000    0.1000000E-09 
 I5    13272.150    0.1000000E-09 
 I5    13366.950    0.1000000E-09 
 I5    13462.050    0.1000000E-09 
 I5    13557.100    0.1000000E-09 
 I5    13651.850    0.1000000E-09 
 I5    13747.100    0.1000000E-09 
 I5    13841.950    0.1000000E-09 
 I5    13937.100    0.1000000E-09 
 I5    14031.850    0.1000000E-09 
 I5    14126.950    0.1000000E-09 
 I5    14221.950    0.1000000E-09 
 I5    14317.000    0.1000000E-09 
 I5    14411.900    0.1000000E-09 
 I5    14507.150    0.1000000E-09 
 I5    14602.050    0.1000000E-09 
 I5    14697.000    0.1000000E-09 
 I5    14792.100    0.1000000E-09 
 I5    14886.950    0.1000000E-09 
 I5    14982.050    0.1000000E-09 
 I5    15076.900    0.1000000E-09 
 I5    15171.950    0.1000000E-09 
 I5    15267.050    0.1000000E-09 
 I5    15362.050    0.1000000E-09 
 I5    15457.000    0.1000000E-09 
 I5    15552.000    0.1000000E-09 
 I5    15647.100    0.1000000E-09 
 I5    15741.950    0.1000000E-09 
 I5    15837.000    0.1000000E-09 
 I5    15932.050    0.1000000E-09 
 I5    16027.000    0.1000000E-09 
 I5    16121.950    0.1000000E-09 
