%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M5
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M5   348.99750   1.0000000E-10
   M5   354.50350   1.0000000E-10
   M5   359.99500   1.0000000E-10
   M5   365.49350   1.0000000E-10
   M5   371.01100   1.0000000E-10
   M5   376.49950   1.0000000E-10
   M5   382.00100   1.0000000E-10
   M5   387.50350   1.0000000E-10
   M5   392.99650   1.0000000E-10
   M5   398.49450   1.0000000E-10
   M5   404.00400   1.0000000E-10
   M5   409.49750   1.0000000E-10
   M5   415.00150   1.0000000E-10
   M5   420.50750   1.0000000E-10
   M5   426.00300   1.0000000E-10
   M5   431.49650   1.0000000E-10
   M5   437.00050   1.0000000E-10
   M5   442.50350   1.0000000E-10
   M5   448.01100   1.0000000E-10
   M5   453.49750   1.0000000E-10
   M5   459.00900   1.0000000E-10
   M5   464.50300   1.0000000E-10
   M5   470.00800   1.0000000E-10
   M5   475.50450   1.0000000E-10
   M5   480.99200   1.0000000E-10
   M5   486.49950   1.0000000E-10
   M5   491.99850   2.2316430E-06
   M5   497.49300   2.9317670E-06
   M5   502.99650   2.3254090E-06
   M5   508.50900   1.0000000E-10
   M5   514.01050   1.0000000E-10
   M5   519.50100   1.0000000E-10
   M5   525.00400   1.0000000E-10
   M5   530.49850   1.0000000E-10
   M5   536.00050   1.0000000E-10
   M5   541.49900   1.0000000E-10
   M5   547.00550   1.0000000E-10
   M5   552.51000   1.0000000E-10
   M5   557.99900   1.0000000E-10
   M5   563.50800   1.0000000E-10
   M5   569.00350   1.0000000E-10
   M5   574.50150   1.0000000E-10
   M5   580.00450   1.0000000E-10
   M5   585.49250   1.0000000E-10
   M5   590.99900   1.0000000E-10
   M5   596.49650   1.0000000E-10
   M5   602.00350   1.5440220E-06
   M5   607.49850   3.1192990E-06
   M5   613.00150   5.3634440E-06
   M5   618.50050   8.4264850E-06
   M5   624.00100   1.4727590E-05
   M5   629.50400   2.9386430E-05
   M5   634.23400   0.0001705
   M5   634.70700   0.0001850
   M5   635.21100   0.0001958
   M5   635.69400   0.0002134
   M5   636.20900   0.0002113
   M5   636.69400   0.0002258
   M5   637.26000   0.0002452
   M5   637.69500   0.0002485
   M5   638.27100   0.0002838
   M5   638.72200   0.0003084
   M5   639.27400   0.0003397
   M5   639.29500   0.0003542
   M5   640.13900   0.0003706
   M5   640.18700   0.0003903
   M5   640.24400   0.0004280
   M5   640.79200   0.0004756
   M5   640.86700   0.0004190
   M5   641.20900   0.0005379
   M5   641.32400   0.0004625
   M5   641.71600   0.0006009
   M5   641.81000   0.0005544
   M5   642.19700   0.0006585
   M5   642.32300   0.0006579
   M5   642.75000   0.0007204
   M5   642.77800   0.0007201
   M5   643.17700   0.0008228
   M5   643.31800   0.0007814
   M5   643.74300   0.0009143
   M5   643.75700   0.0009040
   M5   644.28700   0.0010319
   M5   644.32500   0.0010356
   M5   644.69400   0.0011776
   M5   644.76900   0.0011664
   M5   645.19900   0.0013471
   M5   645.24200   0.0013120
   M5   645.73800   0.0015218
   M5   645.75300   0.0015588
   M5   646.26000   0.0017556
   M5   646.26100   0.0017914
