%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      M4
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   M4   354.00450   1.0000000E-10
   M4   359.49950   1.0000000E-10
   M4   364.99550   1.0000000E-10
   M4   370.49500   1.0000000E-10
   M4   375.99700   1.0000000E-10
   M4   381.50300   1.0000000E-10
   M4   386.99600   1.0000000E-10
   M4   392.48600   1.0000000E-10
   M4   397.99450   1.0000000E-10
   M4   403.50400   1.0000000E-10
   M4   409.00150   1.0000000E-10
   M4   414.49650   1.0000000E-10
   M4   420.00000   1.0000000E-10
   M4   425.49150   1.0000000E-10
   M4   430.99800   1.0000000E-10
   M4   436.50750   1.0000000E-10
   M4   442.00150   1.0000000E-10
   M4   447.50650   1.0000000E-10
   M4   453.00200   1.0000000E-10
   M4   458.50000   1.0000000E-10
   M4   463.99850   1.0000000E-10
   M4   469.50800   2.7050050E-06
   M4   475.00150   2.4464850E-06
   M4   477.00800   0.0001572
   M4   477.43700   0.0001778
   M4   477.57000   0.0001358
   M4   477.81900   0.0003086
   M4   477.83100   0.0001771
   M4   477.88400   0.0001654
   M4   477.98400   0.0002048
   M4   478.10700   0.0002489
   M4   478.58500   0.0003398
   M4   478.77500   0.0003563
   M4   478.82700   0.0003468
   M4   478.97400   0.0003573
   M4   479.18500   0.0003827
   M4   479.25200   0.0003856
   M4   479.39100   0.0003714
   M4   479.59200   0.0003760
   M4   479.64500   0.0003794
   M4   479.80400   0.0003831
   M4   480.00000   0.0003871
   M4   480.05900   0.0003798
   M4   480.20300   0.0003837
   M4   480.21600   0.0003721
   M4   480.39100   0.0003931
   M4   480.47400   0.0003800
   M4   480.59500   0.0003807
   M4   480.77100   0.0003808
   M4   480.87100   0.0003806
   M4   480.98700   0.0003785
   M4   481.18200   0.0003782
   M4   481.30300   0.0003846
   M4   481.38200   0.0003741
   M4   481.58900   0.0003884
   M4   481.65700   0.0003988
   M4   481.71500   0.0003896
   M4   481.74600   0.0003745
   M4   481.81500   0.0003810
   M4   481.81800   0.0003844
   M4   482.06700   0.0003761
   M4   482.60300   0.0003797
   M4   482.86900   0.0003748
   M4   483.23600   0.0003944
   M4   483.53800   0.0003992
   M4   483.54600   0.0003805
   M4   483.83800   0.0004028
   M4   484.10000   0.0004037
   M4   484.26400   0.0003777
   M4   484.36600   0.0003990
   M4   484.48300   0.0003907
   M4   484.48800   0.0003850
   M4   484.50100   0.0004084
   M4   484.50200   0.0004110
   M4   484.53500   0.0003791
   M4   484.54700   0.0003830
   M4   484.86500   0.0003823
   M4   485.33900   0.0003794
   M4   486.07800   0.0003742
   M4   486.77200   0.0003752
   M4   487.43600   0.0003676
   M4   487.90300   0.0003734
   M4   488.37500   0.0003577
   M4   488.40500   0.0003669
   M4   488.86300   0.0003878
   M4   489.37000   0.0003824
   M4   489.87500   0.0003650
   M4   490.31800   0.0003636
   M4   490.57400   0.0003648
   M4   490.60000   0.0003689
   M4   491.47800   0.0003907
   M4   491.78500   0.0003524
   M4   492.16800   0.0003526
   M4   492.58400   0.0003530
   M4   493.07500   0.0003584
   M4   493.66000   0.0003616
   M4   494.20500   0.0003624
   M4   494.68900   0.0003712
   M4   495.11800   0.0003620
   M4   495.33300   0.0003594
   M4   495.65200   0.0003604
   M4   496.14600   0.0003527
   M4   496.38500   0.0003741
   M4   496.55700   0.0003632
   M4   496.61800   0.0003822
   M4   496.84300   0.0003692
   M4   497.01000   0.0003354
   M4   497.07600   0.0003477
   M4   497.35600   0.0003495
   M4   497.45800   0.0003664
   M4   497.52900   0.0003275
   M4   497.73800   0.0002979
   M4   497.90500   0.0003060
   M4   497.97700   0.0002491
   M4   498.20800   0.0002716
   M4   498.40900   0.0002122
   M4   498.46000   0.0002191
   M4   498.71100   0.0001919
   M4   498.89000   0.0001303
   M4   498.91900   0.0001494
   M4   499.15700   0.0001441
   M4   499.40600   0.0001027
   M4   499.65700   0.0001508
   M4   499.96500   9.8900000E-05
   M4   500.23800   0.0001056
   M4   502.49700   2.8689450E-06
   M4   508.00500   4.1300200E-06
   M4   513.50750   5.9207460E-06
   M4   519.00350   6.8854670E-06
   M4   526.00650   1.1368590E-05
   M4   530.00000   1.9546660E-05
   M4   534.00900   4.8236100E-05
   M4   535.88200   0.0002131
   M4   536.43100   0.0002813
   M4   536.91000   0.0003281
   M4   537.36800   0.0003944
   M4   538.45700   0.0005678
   M4   538.95000   0.0007593
   M4   538.95700   0.0007884
   M4   539.32100   0.0010022
   M4   539.75200   0.0012976
   M4   540.15000   0.0016907
   M4   540.54200   0.0023152
   M4   541.06800   0.0039239
   M4   541.57600   0.0070389
   M4   542.07500   0.0139571
   M4   542.56600   0.0277533
   M4   542.79800   0.0390227
   M4   542.80000   0.0393818
   M4   542.99700   0.0527363
   M4   543.37600   0.0959057
   M4   543.43500   0.1039290
   M4   543.48700   0.1113461
   M4   543.53000   0.1186788
   M4   543.80200   0.1847914
   M4   544.02100   0.2383235
   M4   544.02800   0.2437014
   M4   544.19300   0.2981424
   M4   544.24100   0.3069980
   M4   544.40500   0.3755110
   M4   544.75500   0.5211140
   M4   544.81900   0.5497560
   M4   544.89500   0.5738066
   M4   545.02400   0.6404701
   M4   545.50900   0.8177677
   M4   545.52300   0.8228101
   M4   545.55400   0.8319478
   M4   545.62300   0.8679675
   M4   545.99800   0.9397079
   M4   546.17700   0.9611113
   M4   546.29000   0.9707878
   M4   546.34800   0.9763610
   M4   546.54200   0.9855219
   M4   546.87500   0.9928728
   M4   547.16800   0.9928195
   M4   547.46000   0.9899468
   M4   547.55300   0.9947343
   M4   547.72000   0.9860467
   M4   547.79200   0.9843955
   M4   547.96600   0.9820860
   M4   548.18200   0.9856946
   M4   548.20200   0.9789526
   M4   548.44200   0.9754306
   M4   548.67800   0.9789096
   M4   549.16100   0.9780596
   M4   549.61000   0.9775402
   M4   550.10000   0.9733308
   M4   550.51000   0.9659842
   M4   550.56700   0.9718985
   M4   550.70000   0.9662281
   M4   550.85100   0.9734513
   M4   550.92700   0.9681411
   M4   551.13100   0.9769061
   M4   551.14500   0.9704755
   M4   551.36000   0.9735400
   M4   551.56600   0.9773845
   M4   551.59000   0.9775503
   M4   551.72300   0.9798334
   M4   551.74500   0.9803549
   M4   551.77200   0.9803630
   M4   552.05300   0.9864208
   M4   552.19700   0.9877730
   M4   552.38100   0.9903459
   M4   552.81800   0.9954983
   M4   553.04500   0.9949079
   M4   553.22700   0.9939703
   M4   553.39200   0.9919436
   M4   553.40100   0.9923947
   M4   553.60000   0.9899785
   M4   553.73200   0.9878121
   M4   553.73800   0.9869699
