%DAWG J2 VIIRS Band Average "Fused" RSR Release V2 Band      I2
%Based upon VCST 11-13-2018 (V6) analysis (GLAMR) and DAWG V1 release (SpMA)
%Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2017 and GLAMR RSR measurements August 2016
%Band   wvl_nm         RSR
   I2   352.00150   1.0000000E-10
   I2   357.50300   1.0000000E-10
   I2   362.99500   1.0000000E-10
   I2   368.50350   1.0000000E-10
   I2   374.00000   1.0000000E-10
   I2   379.50700   1.0000000E-10
   I2   385.00600   1.0000000E-10
   I2   390.50650   1.0000000E-10
   I2   395.99550   1.0000000E-10
   I2   401.50000   1.0000000E-10
   I2   406.99950   1.0000000E-10
   I2   412.48800   1.0000000E-10
   I2   418.00350   1.0000000E-10
   I2   423.49050   1.0000000E-10
   I2   429.00600   1.0000000E-10
   I2   434.50250   1.0000000E-10
   I2   440.00300   1.0000000E-10
   I2   445.49100   1.0000000E-10
   I2   451.00900   1.0000000E-10
   I2   456.50200   1.0000000E-10
   I2   461.98900   1.0000000E-10
   I2   467.49200   1.0000000E-10
   I2   472.99550   1.0000000E-10
   I2   478.50200   1.0000000E-10
   I2   484.00800   1.0000000E-10
   I2   489.50150   1.0000000E-10
   I2   494.99350   1.0000000E-10
   I2   500.50250   1.0000000E-10
   I2   506.00500   1.0000000E-10
   I2   511.50650   1.0000000E-10
   I2   516.99350   1.0000000E-10
   I2   522.49150   1.0000000E-10
   I2   528.00050   1.0000000E-10
   I2   533.49450   1.0000000E-10
   I2   538.99650   1.0000000E-10
   I2   544.50200   1.0000000E-10
   I2   550.00050   1.0000000E-10
   I2   555.50150   1.0000000E-10
   I2   560.99150   1.0000000E-10
   I2   566.49450   1.0000000E-10
   I2   571.99350   1.0000000E-10
   I2   577.49850   1.0000000E-10
   I2   583.00650   1.0000000E-10
   I2   588.49650   1.0000000E-10
   I2   594.00600   1.0000000E-10
   I2   599.50250   1.0000000E-10
   I2   604.99400   1.0000000E-10
   I2   610.50100   1.0000000E-10
   I2   616.00200   1.0000000E-10
   I2   621.50850   1.0000000E-10
   I2   627.00200   1.0000000E-10
   I2   632.50750   1.3208370E-05
   I2   638.00650   1.0189140E-05
   I2   643.49750   9.4733980E-06
   I2   649.00600   2.8649930E-05
   I2   654.49550   1.0000000E-10
   I2   660.01250   1.0000000E-10
   I2   665.48800   1.0000000E-10
   I2   670.99900   1.0000000E-10
   I2   676.50800   1.0000000E-10
   I2   682.00300   1.0000000E-10
   I2   687.50550   1.0000000E-10
   I2   693.00200   1.0000000E-10
   I2   698.50100   1.0000000E-10
   I2   703.99200   1.0000000E-10
   I2   709.50050   1.0000000E-10
   I2   714.99300   1.0000000E-10
   I2   720.49600   1.0000000E-10
   I2   726.00650   1.0000000E-10
   I2   731.50750   1.0000000E-10
   I2   737.00400   1.0000000E-10
   I2   742.49900   1.0000000E-10
   I2   747.99950   1.0000000E-10
   I2   753.50350   1.0000000E-10
   I2   759.00200   1.0000000E-10
   I2   764.50200   1.0000000E-10
   I2   770.00000   1.0000000E-10
   I2   775.49100   1.0000000E-10
   I2   781.00050   1.0000000E-10
   I2   782.80000   2.6800000E-05
   I2   783.74000   3.3600000E-05
   I2   786.79600   3.4400000E-05
   I2   787.87000   3.3900000E-05
   I2   792.55600   4.0000000E-05
   I2   794.68000   3.8800000E-05
   I2   796.62400   3.3700000E-05
   I2   798.71400   4.1600000E-05
   I2   802.55800   5.3800000E-05
   I2   808.92800   6.5500000E-05
   I2   810.09100   6.4300000E-05
   I2   810.67000   6.1600000E-05
   I2   811.67100   7.8100000E-05
   I2   812.74600   8.7300000E-05
   I2   813.85500   8.9200000E-05
   I2   814.51700   9.2500000E-05
   I2   815.59400   0.0001170
   I2   816.62000   0.0001424
   I2   817.68100   0.0001752
   I2   818.78400   0.0002127
   I2   819.83700   0.0002722
   I2   820.68600   0.0003126
   I2   822.65000   0.0004450
   I2   823.73700   0.0005371
   I2   824.59200   0.0006061
   I2   825.52900   0.0007120
   I2   826.62600   0.0008635
   I2   828.52300   0.0012183
   I2   828.83100   0.0012858
   I2   829.48200   0.0015421
   I2   829.49200   0.0014734
   I2   830.01200   0.0017167
   I2   830.55700   0.0019265
   I2   830.58100   0.0018945
   I2   831.07700   0.0022246
   I2   831.64200   0.0025919
   I2   831.66900   0.0024927
   I2   832.21900   0.0030353
   I2   832.34700   0.0031312
   I2   832.36300   0.0030458
   I2   832.89200   0.0037363
   I2   833.44300   0.0043814
   I2   833.99000   0.0052002
   I2   834.52300   0.0061760
   I2   834.53900   0.0060856
   I2   835.07200   0.0074742
   I2   835.66400   0.0091582
   I2   835.82200   0.0096039
   I2   836.32600   0.0116362
   I2   836.34000   0.0115652
   I2   836.86900   0.0142677
   I2   837.45500   0.0177077
   I2   837.47400   0.0176051
   I2   837.51200   0.0111484
   I2   838.00500   0.0217814
   I2   838.54500   0.0261626
   I2   838.56100   0.0261430
   I2   838.56700   0.0261845
   I2   839.12100   0.0318909
   I2   839.27600   0.0335792
   I2   839.27700   0.0335936
   I2   839.28200   0.0335036
   I2   839.80500   0.0398160
   I2   840.33500   0.0468580
   I2   840.41900   0.0473072
   I2   841.50800   0.0658037
   I2   841.53400   0.0663618
   I2   841.61700   0.0678568
   I2   842.20800   0.0792747
   I2   842.22400   0.0802901
   I2   842.77500   0.0924459
   I2   843.31400   0.1068749
   I2   843.31700   0.1067511
   I2   843.35800   0.1077171
   I2   843.85200   0.1227428
   I2   844.40200   0.1426410
   I2   844.40500   0.1426688
   I2   844.43600   0.1432822
   I2   845.03100   0.1669027
   I2   845.13500   0.1748175
   I2   845.19200   0.1759167
   I2   845.67500   0.2044427
   I2   846.32000   0.2473609
   I2   846.34900   0.2486828
   I2   846.87200   0.2926335
   I2   847.41200   0.3440795
   I2   847.42000   0.3464092
   I2   847.96500   0.4047347
   I2   848.14800   0.4269610
   I2   848.70400   0.4970621
   I2   849.25500   0.5717290
   I2   849.82400   0.6499243
   I2   850.45300   0.7312182
   I2   850.99000   0.7927876
   I2   851.54900   0.8457194
   I2   851.74300   0.8621976
   I2   852.86000   0.9229765
   I2   853.41700   0.9400831
   I2   854.00900   0.9508251
   I2   854.59300   0.9567098
   I2   855.17300   0.9602523
   I2   855.31600   0.9611740
   I2   855.91300   0.9644855
   I2   856.48400   0.9675003
   I2   857.04500   0.9708532
   I2   857.61700   0.9739836
   I2   858.21100   0.9772420
   I2   858.34600   0.9778221
   I2   858.82600   0.9803956
   I2   858.90200   0.9803331
   I2   858.90400   0.9803716
   I2   859.45000   0.9833211
   I2   860.05500   0.9863987
   I2   860.20100   0.9869748
   I2   860.78400   0.9892900
   I2   861.38700   0.9913306
   I2   861.97400   0.9935569
   I2   862.53500   0.9951574
   I2   863.10500   0.9967126
   I2   863.27200   0.9967734
   I2   863.86800   0.9982428
   I2   864.44600   0.9990664
   I2   865.01600   0.9991370
   I2   865.60100   0.9990659
   I2   865.73900   0.9989998
   I2   866.32100   0.9986964
   I2   866.85800   0.9985843
   I2   867.44100   0.9981698
