#DAWG J2 VIIRS Band Average RSR Release V1 Band I4  
#Based upon VCST August 7, 2018 RSR Analysis                                                        
#Using J2 VIIRS FP-15,-16 RSR Measurements at Raytheon El Segundo, May - October 2018               
#Band     wvl_um        RSR                                                                         
 I4     1000.010    0.1000000E-09 
 I4     1013.990    0.1000000E-09 
 I4     1028.020    0.1000000E-09 
 I4     1042.005    0.1000000E-09 
 I4     1056.005    0.1000000E-09 
 I4     1069.995    0.1000000E-09 
 I4     1083.995    0.1000000E-09 
 I4     1098.010    0.1000000E-09 
 I4     1111.995    0.1000000E-09 
 I4     1126.015    0.1000000E-09 
 I4     1139.995    0.1000000E-09 
 I4     1153.980    0.1000000E-09 
 I4     1168.015    0.1000000E-09 
 I4     1182.005    0.1000000E-09 
 I4     1195.980    0.1000000E-09 
 I4     1210.015    0.1000000E-09 
 I4     1224.000    0.1000000E-09 
 I4     1238.005    0.1000000E-09 
 I4     1252.000    0.1000000E-09 
 I4     1265.990    0.1000000E-09 
 I4     1280.000    0.1000000E-09 
 I4     1293.995    0.1000000E-09 
 I4     1308.025    0.1000000E-09 
 I4     1321.995    0.1000000E-09 
 I4     1336.005    0.1000000E-09 
 I4     1350.005    0.1000000E-09 
 I4     1364.015    0.1000000E-09 
 I4     1378.020    0.1000000E-09 
 I4     1392.020    0.1000000E-09 
 I4     1406.005    0.1000000E-09 
 I4     1420.005    0.1000000E-09 
 I4     1433.985    0.1000000E-09 
 I4     1447.990    0.1000000E-09 
 I4     1461.995    0.1000000E-09 
 I4     1476.000    0.1000000E-09 
 I4     1490.000    0.1000000E-09 
 I4     1503.995    0.1000000E-09 
 I4     1518.000    0.1000000E-09 
 I4     1531.990    0.1000000E-09 
 I4     1545.995    0.1000000E-09 
 I4     1559.995    0.1000000E-09 
 I4     1574.005    0.1000000E-09 
 I4     1587.980    0.1000000E-09 
 I4     1602.010    0.1000000E-09 
 I4     1616.010    0.1000000E-09 
 I4     1630.000    0.1000000E-09 
 I4     1644.005    0.1000000E-09 
 I4     1658.000    0.1000000E-09 
 I4     1672.000    0.1000000E-09 
 I4     1685.985    0.1000000E-09 
 I4     1700.000    0.1000000E-09 
 I4     1713.995    0.1000000E-09 
 I4     1728.000    0.1000000E-09 
 I4     1742.015    0.1000000E-09 
 I4     1755.990    0.1000000E-09 
 I4     1770.000    0.1000000E-09 
 I4     1783.995    0.1000000E-09 
 I4     1798.020    0.1000000E-09 
 I4     1812.005    0.1000000E-09 
 I4     1826.000    0.1000000E-09 
 I4     1840.015    0.1000000E-09 
 I4     1853.985    0.1000000E-09 
 I4     1867.985    0.1000000E-09 
 I4     1881.995    0.1000000E-09 
 I4     1896.005    0.1000000E-09 
 I4     1910.010    0.1000000E-09 
 I4     1923.980    0.1000000E-09 
 I4     1938.010    0.1000000E-09 
 I4     1952.005    0.1000000E-09 
 I4     1965.995    0.1000000E-09 
 I4     1980.015    0.1000000E-09 
 I4     1994.015    0.1000000E-09 
 I4     2008.000    0.1000000E-09 
 I4     2022.000    0.1000000E-09 
 I4     2035.990    0.1000000E-09 
 I4     2050.000    0.1000000E-09 
 I4     2064.010    0.1000000E-09 
 I4     2078.010    0.1000000E-09 
 I4     2092.005    0.1000000E-09 
 I4     2105.995    0.1000000E-09 
 I4     2120.005    0.1000000E-09 
 I4     2134.000    0.1000000E-09 
 I4     2148.005    0.1000000E-09 
 I4     2162.000    0.1000000E-09 
 I4     2176.000    0.1000000E-09 
 I4     2190.020    0.1000000E-09 
 I4     2203.995    0.1000000E-09 
 I4     2217.985    0.1000000E-09 
 I4     2232.005    0.1000000E-09 
 I4     2246.005    0.1000000E-09 
 I4     2256.000    0.1000000E-09 
 I4     2269.990    0.1000000E-09 
 I4     2284.010    0.1000000E-09 
 I4     2298.005    0.1000000E-09 
 I4     2311.985    0.1000000E-09 
 I4     2326.000    0.1000000E-09 
 I4     2339.990    0.1000000E-09 
 I4     2354.000    0.1000000E-09 
 I4     2368.005    0.1000000E-09 
 I4     2381.995    0.1000000E-09 
 I4     2396.005    0.1000000E-09 
 I4     2410.000    0.1000000E-09 
 I4     2418.005    0.1000000E-09 
 I4     2434.000    0.1000000E-09 
 I4     2449.995    0.1000000E-09 
 I4     2465.995    0.1000000E-09 
 I4     2482.010    0.1000000E-09 
 I4     2498.010    0.1000000E-09 
 I4     2514.015    0.1000000E-09 
 I4     2530.000    0.1000000E-09 
 I4     2546.000    0.1000000E-09 
 I4     2562.005    0.1000000E-09 
 I4     2577.995    0.1000000E-09 
 I4     2593.995    0.1000000E-09 
