Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,7.00E-06,2.32E-06,-1.88E-07,1.33E-05,4.32E-06
0.398,3.38E-06,-1.52E-06,-1.05E-06,1.18E-05,5.92E-06
0.399,3.03E-06,3.84E-06,1.31E-06,1.73E-05,3.75E-06
0.4,6.42E-06,3.91E-06,-1.83E-07,9.97E-06,1.19E-05
0.401,5.38E-06,1.59E-06,-3.15E-06,7.04E-06,2.43E-05
0.402,8.05E-06,4.51E-06,-2.14E-06,5.78E-06,5.64E-05
0.403,1.03E-05,-4.55E-06,-2.00E-06,1.01E-05,5.37E-05
0.404,2.29E-05,1.86E-06,-1.07E-06,1.87E-05,6.60E-05
0.405,3.48E-05,-2.76E-06,-3.06E-06,2.68E-05,9.42E-05
0.406,3.37E-05,-1.51E-06,-4.22E-06,2.16E-05,5.44E-05
0.407,3.65E-05,1.50E-06,2.43E-07,2.38E-05,6.04E-05
0.408,1.70E-05,-4.73E-06,-2.93E-06,2.78E-05,9.10E-05
0.409,2.14E-05,-1.11E-06,-3.28E-06,3.33E-05,1.12E-04
0.41,3.88E-05,2.41E-06,2.69E-06,2.63E-05,1.08E-04
0.411,6.30E-05,-4.54E-06,-4.55E-06,3.13E-05,1.14E-04
0.412,1.01E-04,2.88E-06,3.25E-06,2.68E-05,1.09E-04
0.413,1.05E-04,1.32E-06,9.71E-07,9.68E-06,7.92E-05
0.414,1.08E-04,1.65E-06,1.46E-06,-1.26E-06,4.97E-05
