Wavelength [um],Blue,Green,Red,NIR,Pan
0.46,0.378476728,5.19E-06,-1.39367E-05,-1.36E-05,0.375838732
0.461,0.378851009,9.70E-06,-1.64506E-05,-1.96E-05,0.376506437
0.462,0.379174692,4.91E-06,-1.67558E-05,-9.73E-06,0.377567988
0.463,0.379390331,1.84E-05,-8.89226E-06,-1.18E-07,0.378335393
0.464,0.379632143,1.69E-05,-6.75387E-06,6.29E-07,0.378685353
0.465,0.378871131,1.21E-05,1.75895E-06,2.14E-05,0.37746239
0.466,0.37716617,2.14E-05,6.69141E-06,3.78E-05,0.375346736
0.467,0.374392983,2.49E-05,-3.47696E-06,4.15E-05,0.372815177
0.468,0.37297703,2.88E-05,7.15019E-06,2.90E-05,0.371762466
0.469,0.373320795,4.24E-05,1.46E-05,1.97E-05,0.371953474
0.47,0.374883496,5.96E-05,1.52E-05,2.65E-05,0.373010562
0.471,0.3767565,8.59E-05,2.97E-05,1.55E-05,0.374204878
0.472,0.377888111,8.20E-05,2.95E-05,1.46E-05,0.374676421
0.473,0.37816798,9.30E-05,2.69E-05,1.30E-05,0.374435912
0.474,0.379372686,9.46E-05,3.60E-05,1.41E-05,0.375347118
0.475,0.38029031,7.88E-05,4.71E-05,2.47E-05,0.37633262
0.476,0.382652013,7.23E-05,5.25E-05,2.13E-05,0.37948817
0.477,0.384367873,6.77E-05,5.88E-05,3.46E-05,0.382679152
0.478,0.385418728,7.07E-05,7.76E-05,5.14E-05,0.384994026
0.479,0.386707235,6.16E-05,7.48E-05,4.70E-05,0.387064319
0.48,0.388023586,4.87E-05,5.10E-05,4.15E-05,0.389196734
0.481,0.38757741,5.00E-05,4.57E-05,3.16E-05,0.389229504
0.482,0.387196857,5.19E-05,4.51E-05,3.03E-05,0.388425589
0.483,0.386768024,4.98E-05,3.11E-05,3.12E-05,0.387001105
0.484,0.387187257,4.88E-05,2.37E-05,2.43E-05,0.386519588
0.485,0.387719855,3.38E-05,1.74E-05,1.63E-05,0.386389298
0.486,0.389624509,2.49E-05,1.94E-05,1.02E-06,0.387851158
0.487,0.39240725,1.57E-05,1.79E-05,-1.16E-05,0.390366534
0.488,0.395176138,1.14E-05,1.63E-05,-1.59E-05,0.393015144
0.489,0.396810476,8.59E-06,2.91E-05,-1.39E-05,0.394951049
0.49,0.397425656,7.95755E-06,1.73E-05,-8.72E-06,0.396494264
0.491,0.398480039,1.09531E-05,2.07E-05,-1.53E-05,0.398459288
0.492,0.398936227,8.63872E-06,2.17E-05,-2.01E-05,0.399359434
0.493,0.400230322,1.01968E-05,8.96E-06,-1.55E-05,0.401129204
0.494,0.400278885,1.66587E-05,1.78E-05,-1.75E-05,0.401836739
0.495,0.401248127,2.54904E-05,9.86E-06,-1.06E-05,0.402511459
0.496,0.402585541,4.37986E-05,1.50E-05,-3.10E-06,0.402370138
0.497,0.403539668,7.86157E-05,2.60E-05,-6.12E-06,0.402041253
0.498,0.403844947,0.000135798,3.36126E-05,6.42E-06,0.401820772
0.499,0.403574115,0.00022901,3.51994E-05,-7.29E-06,0.401695647
0.5,0.402261798,0.000358356,2.74609E-05,-1.41251E-05,0.402356239
0.501,0.397433003,0.000546467,4.88213E-05,-5.03581E-06,0.402823027
0.502,0.384764654,0.000849109,8.27344E-05,-1.40305E-05,0.403735078
0.503,0.349818937,0.001424742,0.00010711,-1.85169E-05,0.404343939
0.504,0.290440094,0.0026743,0.000132381,-1.50087E-05,0.403192132
0.505,0.236061848,0.005658856,0.000162673,-7.96006E-06,0.401517893
0.506,0.191714068,0.012616123,0.000220072,-7.05219E-06,0.399353041
0.507,0.127648669,0.027567147,0.000283841,-1.61951E-05,0.397495813
0.508,0.060345755,0.057082881,0.000322364,-1.80465E-05,0.397485644
0.509,0.023541295,0.105970754,0.000369594,-1.29774E-05,0.399015745
0.51,0.009868874,0.165233071,0.000398717,-1.12E-05,0.401784991
0.511,0.004423558,0.21662473,0.000410775,-5.39E-06,0.405004708
0.512,0.001964619,0.267476033,0.00040626,1.51E-05,0.407840913
0.513,0.000887072,0.335444259,0.000373335,2.62E-05,0.410665551
0.514,0.000449587,0.387854654,0.000345151,2.24E-05,0.412919491
0.515,0.000268241,0.40153467,0.000317091,2.17E-05,0.414780867
0.516,0.000186022,0.405007908,0.000315223,2.61E-05,0.416567716
0.517,0.000148361,0.412969224,0.000313489,3.59E-05,0.417523139
0.518,0.000111466,0.418143681,0.000267652,3.70E-05,0.417983521
0.519,7.84746E-05,0.419051707,0.000210849,2.04E-05,0.418567075
0.52,5.34271E-05,0.419748756,0.000165029,1.37E-05,0.419769279
0.521,4.40616E-05,0.420665699,0.000145587,9.22E-06,0.420372815
0.522,4.53408E-05,0.423376112,0.000137857,7.07E-07,0.421755124
0.523,4.42081E-05,0.426968884,0.000131738,3.87E-06,0.423681507
0.524,4.86868E-05,0.42913755,0.000132038,5.11E-06,0.42564476
0.525,4.80047E-05,0.429215011,0.000131462,7.08E-06,0.42722016
0.526,3.9462E-05,0.429571624,0.000139712,3.70659E-06,0.428574743
0.527,4.09952E-05,0.431485352,0.000154994,5.57915E-06,0.429807394
0.528,3.67598E-05,0.433476347,0.000169272,1.34833E-05,0.431304531
0.529,3.51579E-05,0.43353569,0.000188868,1.27692E-05,0.432539086
0.53,3.32597E-05,0.433461104,0.000218973,7.68557E-06,0.433998824
0.531,2.3747E-05,0.434458408,0.00026679,1.18812E-05,0.435353505
0.532,3.71122E-05,0.435639864,0.000344722,2.00093E-05,0.436342673
0.533,4.28958E-05,0.435945579,0.000401155,3.29721E-05,0.437337253
0.534,4.32434E-05,0.434571256,0.000430711,2.34311E-05,0.437106444
0.535,3.98669E-05,0.433959713,0.000467486,2.60E-05,0.436394605
0.536,3.02554E-05,0.43416445,0.000497127,2.83E-05,0.435146103
0.537,4.01318E-05,0.433821335,0.000506324,2.21E-05,0.433395922
0.538,4.92733E-05,0.431301493,0.000483946,3.56E-05,0.430162462
0.539,4.54995E-05,0.428176956,0.000436914,4.11E-05,0.426379599
0.54,3.53832E-05,0.424476319,0.000380027,1.20E-05,0.421658217
0.541,3.36925E-05,0.419534433,0.000324012,1.38E-05,0.416087093
0.542,4.01888E-05,0.41291092,0.000288532,2.15E-05,0.410027142
0.543,4.40695E-05,0.405848585,0.000262061,1.46E-05,0.404259883
0.544,5.71045E-05,0.400337076,0.000230704,1.33E-05,0.399835267
0.545,7.91991E-05,0.39800171,0.000240422,1.40E-05,0.398046866
0.546,8.48907E-05,0.398645201,0.000223865,1.98E-05,0.399053911
0.547,1.05E-04,0.401146674,0.00020789,1.48E-05,0.401957687
