Wavelength (nm), Coastal-Blue response, Blue response, Green_i response, Green_ii response, Yellow response, Red response, Red-edge response, NIR response
542,0,0.000455685,0.950258557,0,0,0,0,0
543,0,0.000455685,0.980792908,0.015898618,0,0,0,0
544,0,0.000455685,0.981285398,0.147695853,0,0,0,0
545,0,0.000455685,0.966756956,0.241013825,0,0,0,0
546,0,0.000455685,0.959862103,0.34078341,0,0,0,0
547,0,0.000455685,0.959862103,0.65921659,0,0,0,0
548,0,0.000455685,0.965279488,0.947695853,0,0,0,0
549,0,0.000455685,0.977837971,0.988248848,0,0,0,0
550,0,0.000455685,0.94213248,0.982949309,0,0,0,0
551,0,0.000455685,0.716572273,0.989861751,0,0,0,0
552,0,0.000455685,0.366412214,0.990552995,0,0,0,0
553,0,0.000455685,0.083230731,0.989861751,0,0,0,0
554,0,0.000455685,0.018222113,0.983640553,0,0,0,0
555,0,0.000455685,0.003201182,0.991474654,0,0,0,0
556,0,0.000455685,0.001723713,0.998387097,0,0,0,0
557,0,0.000455685,0.00049249,1,0,0,0,0
558,0,0.000455685,0.000246245,0.997695853,0,0,0,0
559,0,0.000455685,0,0.99562212,0,0,0,0
560,0,0.000455685,0,0.996313364,0,0,0,0
561,0,0.000455685,0,0.999769585,0,0,0,0
562,0,0.000455685,0,0.997926267,0,0,0,0
563,0,0.000455685,0,0.997465438,0,0,0,0
564,0,0.000455685,0,0.997695853,0,0,0,0
565,0,0.000455685,0,0.986635945,0,0,0,0
566,0,0.000455685,0,0.983870968,0,0,0,0
567,0,0.000455685,0,0.986866359,0,0,0,0
568,0,0.000455685,0,0.99078341,0,0,0,0
569,0,0.000683527,0,0.979953917,0,0,0,0
570,0,0.000683527,0,0.975806452,0,0,0,0
571,0,0.000683527,0,0.976036866,0,0,0,0
572,0,0.000683527,0,0.980645161,0,0,0,0
573,0,0.000683527,0,0.979493088,0,0,0,0
574,0,0.000683527,0,0.975806452,0,0,0,0
575,0,0.000683527,0,0.978110599,0,0,0,0
576,0,0.000683527,0,0.978571429,0,0,0,0
577,0,0.000683527,0,0.976728111,0,0,0,0
578,0,0.000683527,0,0.975115207,0,0,0,0
579,0,0.000683527,0,0.974654378,0,0,0,0
580,0,0.000683527,0,0.978341014,0,0,0,0
581,0,0.000683527,0,0.972119816,0,0,0,0
582,0,0.000683527,0,0.972580645,0,0,0,0
583,0,0.000683527,0,0.973271889,0,0,0,0
584,0,0.000683527,0,0.967741935,0,0,0,0
585,0,0.000683527,0,0.864285714,0,0,0,0
586,0,0.000683527,0,0.298156682,0,0,0,0
587,0,0.000683527,0,0.039631336,0,0,0,0
588,0,0.000683527,0,0.005760369,0,0,0,0
589,0,0.000683527,0,0.002304147,0,0,0,0
590,0,0.000683527,0,0.000921659,0,0,0,0
591,0,0.000683527,0,0.001382488,0,0,0,0
592,0,0.000683527,0,0,0,0,0,0
593,0,0.000683527,0,0,0.000250188,0,0,0
594,0,0.000683527,0,0,0.000750563,0,0,0
595,0,0.000683527,0,0.000691244,0.002251689,0,0,0
596,0,0.000683527,0,0.001843318,0.008756567,0,0,0
597,0,0.000683527,0,0,0.036777583,0,0,0
598,0,0.000683527,0,0,0.122591944,0,0,0
599,0,0.000683527,0,0.000230415,0.274956217,0,0,0
600,0,0.000683527,0,0.000230415,0.552914686,0,0,0
601,0,0.000683527,0,0,0.891168376,0,0,0
602,0,0.000683527,0,0,1,0,0,0
603,0,0.000683527,0,0,0.99574681,0,0,0
604,0,0.000683527,0,0,0.996997748,0,0,0
605,0,0.000683527,0,0,0.994495872,0,0,0
606,0,0.000683527,0,0,0.987490618,0,0,0
607,0,0.000683527,0,0,0.985739304,0,0,0
608,0,0.000911369,0,0,0.98724043,0,0,0
609,0,0.000911369,0,0,0.98724043,0,0,0
610,0,0.000911369,0,0,0.985489117,0,0,0
611,0,0.000911369,0,0,0.983237428,0,0,0
612,0,0.000911369,0,0,0.980735552,0,0,0
613,0,0.000911369,0,0,0.978483863,0,0,0
614,0,0.000911369,0,0,0.975731799,0,0,0
615,0,0.000911369,0,0,0.971728797,0,0,0
616,0,0.000911369,0,0,0.966474856,0,0,0
617,0,0.000911369,0,0,0.965223918,0,0,0
618,0,0.000911369,0,0,0.968726545,0,0,0
619,0,0.000911369,0,0,0.965223918,0,0,0
620,0,0.000911369,0,0,0.954716037,0,0,0
621,0,0.000911369,0,0,0.966224669,0,0,0
622,0,0.000911369,0,0,0.945208907,0,0,0
623,0,0.000911369,0,0,0.668501376,0,0,0
624,0,0.000911369,0,0,0.336502377,0,0,0
625,0,0.000911369,0,0,0.171378534,0,0,0
626,0,0.000911369,0,0,0.091318489,0,0,0
627,0,0.000911369,0,0,0.038528897,0,0,0
628,0,0.000911369,0,0,0.01275957,0,0,0
629,0,0.000911369,0,0,0.00425319,0,0,0
630,0,0.000911369,0,0,0.001751313,0,0,0
631,0,0.000911369,0,0,0.000750563,0,0,0
632,0,0.000911369,0,0,0.000500375,0,0,0
633,0,0.000911369,0,0,0.000250188,0,0,0
634,0,0.000911369,0,0,0.000250188,0.001909438,0,0
635,0,0.000911369,0,0,0,0,0,0
636,0,0.000911369,0,0,0,0,0,0
637,0,0.000911369,0,0,0,0,0,0
638,0,0.000911369,0,0,0,0,0,0
639,0,0.000911369,0,0,0,0.000272777,0,0
640,0,0.000911369,0,0,0,0,0,0
641,0,0.000911369,0,0,0,0.000545554,0,0
642,0,0.000911369,0,0,0,0.000272777,0,0
643,0,0.000911369,0,0,0,0.000818331,0,0
644,0,0.000911369,0,0,0,0.001091107,0,0
645,0,0.000911369,0,0,0,0.002727769,0,0
646,0,0.000911369,0,0,0,0.007637752,0,0
647,0,0.000911369,0,0,0,0.021822149,0,0
648,0,0.000911369,0,0,0,0.070103655,0,0
649,0,0.000911369,0,0,0,0.239225314,0,0
650,0,0.000911369,0,0,0,0.622476814,0,0
651,0,0.000911369,0,0,0,0.927441353,0,0
652,0,0.000911369,0,0,0,0.990998363,0,0
653,0,0.000911369,0,0,0,1,0,0
654,0,0.000911369,0,0,0,0.999181669,0,0
655,0,0.000911369,0,0,0,0.992089471,0,0
656,0,0.000911369,0,0,0,0.989088925,0,0
657,0,0.000911369,0,0,0,0.992907801,0,0
658,0,0.000911369,0,0,0,0.987725041,0,0
659,0,0.000911369,0,0,0,0.982815057,0,0
660,0,0.000911369,0,0,0,0.978723404,0,0
661,0,0.000911369,0,0,0,0.977086743,0,0
662,0,0.000911369,0,0,0,0.980087289,0,0
663,0,0.000911369,0,0,0,0.975995636,0,0
664,0,0.000911369,0,0,0,0.965630115,0,0
665,0,0.000911369,0,0,0,0.959356247,0,0
666,0,0.000911369,0,0,0,0.954446263,0,0
667,0,0.000911369,0,0,0,0.950081833,0,0
668,0,0.000911369,0,0,0,0.947899618,0,0
669,0,0.000911369,0,0,0,0.944626296,0,0
670,0,0.000911369,0,0,0,0.93726132,0,0
671,0,0.000911369,0,0,0,0.931533006,0,0
672,0,0.000911369,0,0,0,0.924713584,0,0
673,0,0.000911369,0,0,0,0.928259684,0,0
674,0,0.000911369,0,0,0,0.924168031,0,0
675,0,0.000911369,0,0,0,0.921713039,0,0
676,0,0.000911369,0,0,0,0.918439716,0,0
677,0,0.000911369,0,0,0,0.91462084,0,0
678,0,0.000911369,0,0,0,0.913256956,0,0
679,0,0.000911369,0,0,0,0.906983088,0,0
680,0,0.000911369,0,0,0,0.903164212,0,0
681,0,0.000911369,0,0,0,0.893071468,0,0
682,0,0.000911369,0,0,0,0.771140207,0,0
683,0,0.000911369,0,0,0,0.374249864,0,0
684,0,0.000911369,0,0,0,0.091925805,0,0
685,0,0.000911369,0,0,0,0.019912711,0,0
686,0,0.000911369,0,0,0,0.006273868,0,0
687,0,0.000911369,0,0,0,0.002454992,0,0
688,0,0.000911369,0,0,0,0.000545554,0,0
689,0,0.000911369,0,0,0,0,0,0
690,0,0.000911369,0,0,0,0.000272777,0,0
691,0,0.000911369,0,0,0,0.000818331,0,0
692,0,0.000911369,0,0,0,0,0.000357526,0
693,0,0.000911369,0,0,0,0,0.000357526,0
694,0,0.000911369,0,0,0,0.000545554,0.001430104,0
695,0,0.000911369,0,0,0,0.001909438,0.005005363,0
696,0,0.000911369,0,0,0,0,0.020021452,0
697,0,0.000911369,0,0,0,0,0.086521273,0
698,0,0.000911369,0,0,0,0,0.397211298,0
699,0,0.000911369,0,0,0,0,0.950303897,0
700,0,0.000911369,0,0,0,0.001091107,0.999642474,0
701,0,0.000911369,0,0,0,0.001091107,1,0
702,0,0.000911369,0,0,0,0.001091107,0.997139793,0
703,0,0.000911369,0,0,0,0.001091107,0.995352163,0
704,0,0.000911369,0,0,0,0.001091107,0.997497319,0
705,0,0.000911369,0,0,0,0.001091107,0.994279585,0
706,0,0.000911369,0,0,0,0.001091107,0.988201645,0
707,0,0.000911369,0,0,0,0.001091107,0.982838756,0
708,0,0.001139212,0,0,0,0.001091107,0.979621023,0
709,0,0.001139212,0,0,0,0.001091107,0.978548445,0
710,0,0.001139212,0,0,0,0.001091107,0.979621023,0
711,0,0.001139212,0,0,0,0.001091107,0.973543082,0
712,0,0.000911369,0,0,0,0.001091107,0.963889882,0
713,0,0.000911369,0,0,0,0.001091107,0.964247408,0
714,0,0.000911369,0,0,0,0.001091107,0.938505542,0
715,0,0.000911369,0,0,0,0.001091107,0.887736861,0
716,0,0.000911369,0,0,0,0.001091107,0.478369682,0
717,0,0.000911369,0,0,0,0.001091107,0.086878799,0
718,0,0.000911369,0,0,0,0.001091107,0.0193064,0
719,0,0.000911369,0,0,0,0.001091107,0.006792992,0
720,0,0.000911369,0,0,0,0.001091107,0.003575259,0
721,0,0.000911369,0,0,0,0.001091107,0.002502681,0
722,0,0.000911369,0,0,0,0.001091107,0.001430104,0
723,0,0.000911369,0,0,0,0.001091107,0.000357526,0
724,0,0.000911369,0,0,0,0.001091107,0,0
725,0,0.000911369,0,0,0,0.000818331,0,0
726,0,0.000911369,0,0,0,0.000818331,0,0
727,0,0.000911369,0,0,0,0.000818331,0,0
728,0,0.000911369,0,0,0,0.000818331,0,0
729,0,0.000911369,0,0,0,0.000818331,0,0
730,0,0.000911369,0,0,0,0.000818331,0,0
731,0,0.000911369,0,0,0,0.000818331,0,0
732,0,0.000911369,0,0,0,0.000818331,0,0
733,0,0.000911369,0,0,0,0.000818331,0,0
734,0,0.000911369,0,0,0,0.000818331,0,0
735,0,0.000911369,0,0,0,0.000818331,0,0
736,0,0.000911369,0,0,0,0.000818331,0,0
737,0,0.000911369,0,0,0,0.000818331,0,0
738,0,0.000911369,0,0,0,0.000818331,0,0
739,0,0.000911369,0,0,0,0.000818331,0,0
740,0,0.000911369,0,0,0,0.000818331,0,0
741,0,0.000911369,0,0,0,0.000818331,0,0
742,0,0.000911369,0,0,0,0.000818331,0,0
743,0,0.000911369,0,0,0,0.000818331,0,0
744,0,0.000911369,0,0,0,0.000818331,0,0
745,0,0.000911369,0,0,0,0.000818331,0,0
746,0,0.000911369,0,0,0,0.000818331,0,0
747,0,0.000911369,0,0,0,0.000818331,0,0
748,0,0.000911369,0,0,0,0.000818331,0,0
749,0,0.000911369,0,0,0,0.000818331,0,0
750,0,0.000911369,0,0,0,0.000818331,0,0
751,0,0.000911369,0,0,0,0.000818331,0,0
752,0,0.000911369,0,0,0,0.000818331,0,0
753,0,0.000911369,0,0,0,0.000818331,0,0
754,0,0.000911369,0,0,0,0.000818331,0,0
755,0,0.000911369,0,0,0,0.000818331,0,0
756,0,0.000911369,0,0,0,0.000818331,0,0
757,0,0.000911369,0,0,0,0.000818331,0,0
758,0,0.000911369,0,0,0,0.000818331,0,0
759,0,0.000911369,0,0,0,0.000818331,0,0
760,0,0.000911369,0,0,0,0.000818331,0,0
761,0,0.000911369,0,0,0,0.000818331,0,0
762,0,0.000911369,0,0,0,0.000818331,0,0
763,0,0.000911369,0,0,0,0.000818331,0,0
764,0,0.000911369,0,0,0,0.000818331,0,0
765,0,0.000911369,0,0,0,0.000818331,0,0
766,0,0.000911369,0,0,0,0.000818331,0,0
767,0,0.000911369,0,0,0,0.000818331,0,0
768,0,0.000911369,0,0,0,0.000818331,0,0
769,0,0.000911369,0,0,0,0.000818331,0,0
770,0,0.000911369,0,0,0,0.000818331,0,0
771,0,0.000911369,0,0,0,0.000818331,0,0
772,0,0.000911369,0,0,0,0.000818331,0,0
773,0,0.000911369,0,0,0,0.000818331,0,0
774,0,0.000911369,0,0,0,0.000818331,0,0
775,0,0.000911369,0,0,0,0.000818331,0,0
776,0,0.000911369,0,0,0,0.000818331,0,0
777,0,0.000911369,0,0,0,0.000818331,0,0
778,0,0.000911369,0,0,0,0.000818331,0,0
779,0,0.000911369,0,0,0,0.000818331,0,0
780,0,0.000911369,0,0,0,0.000818331,0,0
781,0,0.000911369,0,0,0,0.000818331,0,0
782,0,0.000911369,0,0,0,0.000818331,0,0
783,0,0.000911369,0,0,0,0.000818331,0,0
784,0,0.000911369,0,0,0,0.000818331,0,0
785,0,0.000911369,0,0,0,0.000818331,0,0
786,0,0.000911369,0,0,0,0.000818331,0,0
787,0,0.000911369,0,0,0,0.000818331,0,0
788,0,0.000911369,0,0,0,0.000545554,0,0
789,0,0.000911369,0,0,0,0.000545554,0,0
790,0,0.000911369,0,0,0,0.000545554,0,0
791,0,0.000911369,0,0,0,0.000545554,0,0
792,0,0.000911369,0,0,0,0.000545554,0,0
793,0,0.000911369,0,0,0,0.000545554,0,0
794,0,0.000911369,0,0,0,0.000545554,0,0
795,0,0.000911369,0,0,0,0.000545554,0,0
796,0,0.000911369,0,0,0,0.000545554,0,0
797,0,0.000911369,0,0,0,0.000545554,0,0
798,0,0.000911369,0,0,0,0.000545554,0,0
799,0,0.000911369,0,0,0,0.000545554,0,0
800,0,0.000911369,0,0,0,0.000545554,0,0
801,0,0.000911369,0,0,0,0.000545554,0,0
802,0,0.000911369,0,0,0,0.000545554,0,0
803,0,0.000911369,0,0,0,0.000545554,0,0
804,0,0.000911369,0,0,0,0.000545554,0,0
805,0,0.000911369,0,0,0,0.000545554,0,0
806,0,0.000911369,0,0,0,0.000545554,0,0
807,0,0.000911369,0,0,0,0.000545554,0,0
808,0,0.000911369,0,0,0,0.000545554,0,0
809,0,0.000911369,0,0,0,0.000545554,0,0
810,0,0.000911369,0,0,0,0.000545554,0,0
811,0,0.000911369,0,0,0,0.000545554,0,0
812,0,0.000911369,0,0,0,0.000545554,0,0
813,0,0.000683527,0,0,0,0.000545554,0,0
814,0,0.000683527,0,0,0,0.000545554,0,0
815,0,0.000683527,0,0,0,0.000545554,0,0
816,0,0.000683527,0,0,0,0.000545554,0,0
817,0,0.000683527,0,0,0,0.000545554,0,0
818,0,0.000683527,0,0,0,0.000545554,0,0
819,0,0.000683527,0,0,0,0.000545554,0,0
820,0,0.000683527,0,0,0,0.000545554,0,0
821,0,0.000683527,0,0,0,0.000545554,0,0
822,0,0.000683527,0,0,0,0.000545554,0,0
823,0,0.000683527,0,0,0,0.000545554,0,0
824,0,0.000683527,0,0,0,0.000545554,0,0
825,0,0.000683527,0,0,0,0.000545554,0,0
826,0,0.000683527,0,0,0,0.000545554,0,0
827,0,0.000683527,0,0,0,0.000545554,0,0
828,0,0.000683527,0,0,0,0.000545554,0,0
829,0,0.000683527,0,0,0,0.000545554,0,0
830,0,0.000683527,0,0,0,0.000545554,0,0
831,0,0.000683527,0,0,0,0.000545554,0,0
832,0,0.000683527,0,0,0,0.000545554,0,0
833,0,0.000683527,0,0,0,0.000545554,0,0
834,0,0.000683527,0,0,0,0.000545554,0,0
835,0,0.000683527,0,0,0,0.000545554,0,0
836,0,0.000683527,0,0,0,0.000545554,0,0
837,0,0.000683527,0,0,0,0.000545554,0,0
838,0,0.000683527,0,0,0,0.000545554,0,0
839,0,0.000683527,0,0,0,0.000545554,0,0
840,0,0.000683527,0,0,0,0.000545554,0,0.000876424
841,0,0.000683527,0,0,0,0.000545554,0,0.001752848
842,0,0.000683527,0,0,0,0.000545554,0,0.005258545
843,0,0.000683527,0,0,0,0.000545554,0,0.01665206
844,0,0.000683527,0,0,0,0.000545554,0,0.062226117
845,0,0.000683527,0,0,0,0.000545554,0,0.263803681
846,0,0.000683527,0,0,0,0.000545554,0,0.771253287
847,0,0.000683527,0,0,0,0.000545554,0,1
848,0,0.000683527,0,0,0,0.000545554,0,0.986853637
849,0,0.000683527,0,0,0,0.000545554,0,0.985100789
850,0,0.000683527,0,0,0,0.000272777,0,0.974583699
851,0,0.000683527,0,0,0,0.000272777,0,0.953549518
852,0,0.000683527,0,0,0,0.000272777,0,0.942156004
853,0,0.000683527,0,0,0,0.000272777,0,0.941279579
854,0,0.000683527,0,0,0,0.000272777,0,0.940403155
855,0,0.000683527,0,0,0,0.000272777,0,0.932515337
856,0,0.000683527,0,0,0,0.000272777,0,0.916739702
857,0,0.000683527,0,0,0,0.000272777,0,0.901840491
858,0,0.000683527,0,0,0,0.000272777,0,0.893952673
859,0,0.000683527,0,0,0,0.000272777,0,0.893076249
860,0,0.000683527,0,0,0,0.000272777,0,0.891323401
861,0,0.000683527,0,0,0,0.000272777,0,0.884312007
862,0,0.000683527,0,0,0,0.000272777,0,0.875547765
863,0,0.000683527,0,0,0,0.000272777,0,0.865907099
864,0,0.000683527,0,0,0,0.000272777,0,0.85977213
865,0,0.000683527,0,0,0,0.000272777,0,0.858019281
866,0,0.000683527,0,0,0,0.000272777,0,0.858895706
867,0,0.000683527,0,0,0,0.000272777,0,0.857142857
868,0,0.000683527,0,0,0,0.000272777,0,0.851007888
869,0,0.000683527,0,0,0,0.000272777,0,0.840490798
870,0,0.000683527,0,0,0,0.000272777,0,0.831726556
871,0,0.000683527,0,0,0,0.000272777,0,0.825591586
872,0,0.000455685,0,0,0,0.000272777,0,0.820333041
873,0,0.000455685,0,0,0,0.000272777,0,0.813321648
874,0,0.000455685,0,0,0,0.000272777,0,0.801928133
875,0,0.000455685,0,0,0,0.000272777,0,0.787905346
876,0,0.000455685,0,0,0,0.000272777,0,0.773882559
877,0,0.000455685,0,0,0,0.000272777,0,0.762489045
878,0,0.000455685,0,0,0,0.000272777,0,0.756354075
879,0,0.000455685,0,0,0,0.000272777,0,0.75109553
880,0,0.000455685,0,0,0,0.000272777,0,0.743207713
881,0,0.000455685,0,0,0,0.000272777,0,0.732690622
882,0,0.000455685,0,0,0,0.000272777,0,0.721297108
883,0,0.000455685,0,0,0,0.000272777,0,0.714285714
884,0,0.000455685,0,0,0,0.000272777,0,0.704645048
885,0,0.000455685,0,0,0,0.000272777,0,0.690622261
886,0,0.000455685,0,0,0,0.000272777,0,0.681858019
887,0,0.000455685,0,0,0,0.000272777,0,0.667835232
888,0,0.000455685,0,0,0,0.000272777,0,0.454864154
889,0,0.000455685,0,0,0,0.000272777,0,0.141980719
890,0,0.000455685,0,0,0,0.000272777,0,0.035933392
891,0,0.000455685,0,0,0,0.000272777,0,0.01051709
892,0,0.000455685,0,0,0,0.000272777,0,0.003505697
893,0,0.000455685,0,0,0,0.000272777,0,0.000876424
894,0,0.000455685,0,0,0,0.000272777,0,0.000876424
895,0,0.000455685,0,0,0,0.000272777,0,0
896,0,0.000455685,0,0,0,0.000272777,0,0
897,0,0.000455685,0,0,0,0.000272777,0,0
898,0,0.000455685,0,0,0,0.000272777,0,0
899,0,0.000455685,0,0,0,0.000272777,0,0
900,0,0.000455685,0,0,0,0.000272777,0,0
901,0,0.000455685,0,0,0,0.000272777,0,0
902,0,0.000455685,0,0,0,0.000272777,0,0
903,0,0.000455685,0,0,0,0.000272777,0,0
904,0,0.000455685,0,0,0,0.000272777,0,0
905,0,0.000455685,0,0,0,0.000272777,0,0
906,0,0.000455685,0,0,0,0.000272777,0,0
907,0,0.000455685,0,0,0,0.000272777,0,0
908,0,0.000455685,0,0,0,0.000272777,0,0
909,0,0.000455685,0,0,0,0.000272777,0,0
910,0,0.000455685,0,0,0,0.000272777,0,0
911,0,0.000455685,0,0,0,0.000272777,0,0
