Wavelength [um],Blue,Green,Red,Red Edge,NIR
0.43950001,0.181935368,0.000247794,5.84E-06,1.33E-07,5.00E-06
0.44000001,0.321100406,0.000219052,4.83E-06,1.72E-07,3.63E-06
0.44050001,0.511044646,0.000260582,3.68E-06,2.00E-07,3.10E-06
0.44100001,0.68686211,0.000301538,2.60E-06,2.28E-07,2.76E-06
0.44150001,0.7143995,0.000266018,1.97E-06,2.65E-07,2.78E-06
0.44200001,0.718549478,0.000213967,1.57E-06,1.46E-07,2.92E-06
0.44250001,0.724606922,0.00013641,2.02E-06,1.77E-07,3.49E-06
0.44300001,0.730796941,6.30E-05,1.76E-06,2.06E-07,4.28E-06
0.44350001,0.736016239,4.42E-05,3.44E-06,1.55E-05,6.08E-06
0.44400001,0.740373285,3.54E-05,5.07E-06,2.84E-05,8.06E-06
0.44450001,0.740534277,3.53E-05,0.000102982,1.50E-05,1.05E-05
0.44500001,0.740368109,4.11E-05,0.000186943,1.06E-07,1.25E-05
0.44550001,0.74266283,7.61E-05,0.000111316,6.51E-08,1.19E-05
0.44600001,0.745632836,0.00013575,2.45E-05,2.56E-08,1.10E-05
0.44650001,0.75053935,0.000320454,1.10E-05,8.66E-08,1.02E-05
0.44700001,0.755518489,0.000470975,8.84E-06,1.50E-08,9.73E-06
0.44750001,0.759067531,0.000273892,5.59E-06,9.78E-09,1.04E-05
0.44800001,0.762148667,5.12E-05,2.55E-06,1.49E-08,1.15E-05
0.44850001,0.763852133,2.27E-05,1.66E-06,1.84E-08,1.44E-05
0.44900001,0.765384111,2.47E-05,1.16E-06,2.31E-08,1.83E-05
0.44950001,0.767543525,2.38E-05,1.01E-06,3.74E-08,2.64E-05
0.45000001,0.769762267,2.30E-05,9.91E-07,5.78E-08,3.68E-05
0.45050001,0.772419849,2.69E-05,1.50E-06,1.10E-07,5.75E-05
0.45100001,0.775027593,3.20E-05,1.52E-06,2.40E-07,8.21E-05
0.45150001,0.777557656,4.10E-05,3.22E-06,8.35E-07,0.000123031
0.45200001,0.779866633,5.00E-05,4.88E-06,1.65E-06,0.000161478
0.45250001,0.781128238,5.51E-05,7.57E-05,3.45E-06,0.000173152
0.45300001,0.782099176,5.89E-05,0.000137666,4.82E-06,0.000176865
0.45350001,0.782399092,5.79E-05,9.06E-05,2.81E-06,0.000157955
0.45400001,0.78263628,5.65E-05,3.42E-05,5.94E-07,0.000138146
0.45450001,0.783194565,5.71E-05,2.02E-05,2.25E-07,0.000132795
0.45500001,0.783969743,5.82E-05,1.40E-05,1.51E-07,0.000132671
0.45550001,0.785789202,6.06E-05,1.45E-05,1.08E-07,0.000150997
0.45600001,0.787777729,6.31E-05,1.66E-05,7.34E-08,0.000175535
0.45650001,0.78973259,6.50E-05,2.20E-05,6.22E-08,0.000222854
0.45700001,0.791648659,6.70E-05,2.81E-05,5.57E-08,0.000270807
0.45750001,0.793269029,7.05E-05,3.57E-05,5.67E-08,0.000304662
0.45800001,0.794735187,7.55E-05,5.15E-05,6.05E-08,0.000327625
0.45850001,0.795521003,8.81E-05,0.000117857,7.54E-08,0.000298847
0.45900001,0.796118369,0.000105247,0.000219604,9.26E-08,0.000259188
0.45950001,0.796330948,0.000143856,0.000497216,1.16E-07,0.000199669
0.46000001,0.79646163,0.000196538,0.000714181,2.04E-07,0.000140885
0.46050001,0.796814932,0.000317343,0.000401367,6.80E-07,0.00010201
0.46100001,0.797236904,0.000501671,5.86E-05,6.75E-07,6.92E-05
0.46150001,0.798260268,0.001021993,2.16E-05,2.46E-06,5.29E-05
0.46200001,0.799380624,0.001778772,3.09E-05,4.22E-06,4.05E-05
0.46250001,0.800758319,0.003686313,3.00E-05,7.61E-05,3.51E-05
0.46300001,0.802129018,0.005371336,2.76E-05,0.00014694,3.15E-05
0.46350001,0.803436987,0.004485332,2.72E-05,0.000151936,3.13E-05
0.46400001,0.804626854,0.003246919,2.74E-05,0.000141463,3.24E-05
0.46450001,0.805445137,0.002363732,2.90E-05,9.88E-05,3.75E-05
0.46500001,0.806062701,0.001617754,3.18E-05,6.73E-05,4.44E-05
0.46550001,0.805972274,0.001382113,4.10E-05,0.000134353,5.86E-05
0.46600001,0.805697683,0.001271338,5.36E-05,0.00020208,7.57E-05
0.46650001,0.805069696,0.00144079,8.24E-05,0.000181368,0.000104451
