Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,7.68E-06,2.54E-06,-2.07E-07,1.46E-05,4.74E-06
0.398,3.42E-06,-1.54E-06,-1.07E-06,1.19E-05,5.99E-06
0.399,2.67E-06,3.37E-06,1.15E-06,1.52E-05,3.30E-06
0.4,4.73E-06,2.88E-06,-1.35E-07,7.35E-06,8.79E-06
0.401,3.38E-06,9.97E-07,-1.98E-06,4.42E-06,1.53E-05
0.402,4.65E-06,2.61E-06,-1.23E-06,3.34E-06,3.26E-05
0.403,6.09E-06,-2.69E-06,-1.18E-06,5.98E-06,3.17E-05
0.404,1.50E-05,1.22E-06,-7.01E-07,1.23E-05,4.34E-05
0.405,2.63E-05,-2.09E-06,-2.32E-06,2.03E-05,7.14E-05
0.406,2.91E-05,-1.31E-06,-3.65E-06,1.87E-05,4.70E-05
0.407,3.48E-05,1.44E-06,2.32E-07,2.27E-05,5.78E-05
0.408,1.74E-05,-4.84E-06,-2.99E-06,2.84E-05,9.29E-05
0.409,2.28E-05,-1.18E-06,-3.50E-06,3.55E-05,1.20E-04
0.41,4.30E-05,2.67E-06,2.99E-06,2.92E-05,1.20E-04
0.411,7.33E-05,-5.28E-06,-5.29E-06,3.64E-05,1.33E-04
0.412,1.25E-04,3.58E-06,4.04E-06,3.33E-05,1.36E-04
0.413,1.42E-04,1.79E-06,1.31E-06,1.31E-05,1.07E-04
0.414,1.56E-04,2.38E-06,2.10E-06,-1.83E-06,7.18E-05
