Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,-2.37229E-09,-1.97422E-09,-5.2054E-10,-4.88637E-09,9.00355E-11
0.351,-2.03785E-09,-3.337E-09,-3.00813E-09,-2.63073E-09,-9.25285E-09
0.352,4.51048E-10,-2.42936E-09,-1.82194E-09,-1.25431E-09,-2.63499E-09
0.353,-4.11065E-10,2.5724E-09,7.50869E-10,-7.8527E-10,8.23182E-10
0.354,-6.14636E-09,-7.64237E-09,-4.43173E-09,1.47334E-10,6.8037E-10
0.355,3.50209E-13,-2.19336E-09,4.80837E-10,1.53882E-09,-3.78226E-10
0.356,-1.13097E-09,2.32206E-10,-3.0385E-09,-5.82332E-10,-4.3584E-09
0.357,-4.37982E-09,-2.61724E-09,-2.6514E-09,-7.21707E-10,-1.51613E-09
0.358,3.55666E-09,1.57258E-09,4.8365E-09,-1.48976E-09,1.2228E-08
0.359,-3.65811E-09,-6.05546E-09,-1.65156E-09,5.04622E-09,1.80757E-08
0.36,3.57605E-09,1.32048E-08,1.85797E-08,4.41817E-09,-1.39539E-08
0.361,2.13946E-09,1.55252E-08,2.02864E-08,1.65205E-08,4.16246E-08
0.362,1.41017E-08,1.55463E-08,5.58642E-09,7.5912E-09,4.31458E-08
0.363,2.98468E-08,3.76692E-08,1.32389E-08,1.04385E-08,9.62983E-09
0.364,2.39996E-08,2.7803E-08,2.92859E-08,4.99995E-08,-6.29397E-09
0.365,4.88043E-08,5.35192E-08,8.18615E-08,7.51902E-08,3.54547E-08
0.366,8.98217E-08,5.39569E-08,1.06943E-07,5.41933E-08,6.23848E-08
0.367,6.44167E-08,7.48235E-08,5.99207E-08,1.1966E-07,-2.66378E-08
0.368,1.97222E-07,1.30952E-07,1.36481E-07,7.58684E-08,1.41064E-07
0.369,1.71719E-07,9.13822E-08,1.12798E-07,2.08838E-07,1.99572E-07
0.37,1.22957E-07,2.03189E-07,1.74121E-07,2.22692E-07,8.25832E-08
0.371,1.93473E-07,2.63275E-07,2.08328E-07,1.87184E-07,2.54999E-07
0.372,1.97475E-07,2.12013E-07,1.77305E-07,2.38544E-07,2.89615E-07
0.373,4.28269E-07,4.86718E-07,4.16408E-07,3.26682E-07,4.80653E-07
0.374,5.39981E-07,4.54747E-07,5.37687E-07,5.87962E-07,7.01856E-07
0.375,-1.30626E-08,1.60501E-08,-2.50951E-08,7.73662E-08,-7.54089E-08
0.376,1.28367E-08,1.3014E-07,-1.10141E-07,-2.45541E-07,3.22204E-08
0.377,-2.19906E-07,-4.74311E-08,-2.86609E-07,-4.56225E-08,7.44623E-08
0.378,-3.68521E-07,-2.5489E-07,-3.47659E-07,1.4872E-07,-3.27571E-07
0.379,3.47886E-08,1.46463E-07,-1.58027E-07,-4.38089E-07,-1.26291E-07
0.38,-4.42303E-07,-3.16762E-07,-5.22714E-07,-5.68117E-07,-6.87523E-07
0.381,-7.89423E-08,2.12335E-07,-8.02889E-07,-8.64615E-07,7.32803E-07
0.382,-4.64259E-07,-2.70755E-07,-4.04361E-07,-1.78125E-07,5.19907E-07
0.383,-1.08552E-06,-1.28677E-07,-2.13135E-07,2.6635E-07,5.96439E-07
0.384,2.40698E-07,5.73915E-07,3.82984E-07,6.09319E-08,4.32695E-06
0.385,-1.01933E-06,3.76669E-08,1.48195E-06,-1.28377E-07,1.97538E-06
0.386,-5.45613E-07,3.06001E-07,6.29265E-07,2.27995E-08,1.88367E-07
0.387,-4.96839E-09,5.43314E-06,8.6115E-07,1.25829E-07,7.54335E-06
0.388,-6.67738E-09,6.94164E-06,-9.3962E-07,5.01454E-07,3.63032E-06
0.389,1.0203E-06,4.06203E-06,6.0809E-07,6.32912E-07,1.92384E-06
0.39,5.07301E-07,1.74174E-05,-1.22741E-07,3.94397E-06,6.41915E-06
0.391,-4.71372E-07,3.53829E-06,-9.15183E-09,3.97368E-06,2.23452E-06
0.392,2.53615E-07,7.57031E-07,4.56459E-08,7.47106E-06,2.82492E-06
0.393,3.02659E-07,-4.84807E-07,-8.96281E-07,1.10968E-05,2.76848E-06
