Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,9.01E-06,2.99E-06,-2.43E-07,1.72E-05,5.56E-06
0.398,4.32E-06,-1.94E-06,-1.34E-06,1.50E-05,7.55E-06
0.399,3.66E-06,4.63E-06,1.58E-06,2.08E-05,4.53E-06
0.4,7.03E-06,4.28E-06,-2.01E-07,1.09E-05,1.31E-05
0.401,5.27E-06,1.55E-06,-3.08E-06,6.89E-06,2.38E-05
0.402,7.16E-06,4.01E-06,-1.90E-06,5.14E-06,5.02E-05
0.403,8.70E-06,-3.84E-06,-1.69E-06,8.54E-06,4.53E-05
0.404,1.92E-05,1.56E-06,-8.97E-07,1.57E-05,5.55E-05
0.405,3.03E-05,-2.41E-06,-2.67E-06,2.34E-05,8.22E-05
0.406,3.10E-05,-1.39E-06,-3.88E-06,1.99E-05,5.00E-05
0.407,3.53E-05,1.46E-06,2.35E-07,2.30E-05,5.85E-05
0.408,1.72E-05,-4.78E-06,-2.96E-06,2.81E-05,9.18E-05
0.409,2.23E-05,-1.16E-06,-3.43E-06,3.48E-05,1.17E-04
0.41,4.19E-05,2.60E-06,2.91E-06,2.84E-05,1.17E-04
0.411,7.10E-05,-5.12E-06,-5.13E-06,3.53E-05,1.28E-04
0.412,1.21E-04,3.45E-06,3.90E-06,3.21E-05,1.31E-04
0.413,1.37E-04,1.72E-06,1.26E-06,1.26E-05,1.03E-04
0.414,1.52E-04,2.32E-06,2.05E-06,-1.78E-06,6.99E-05
