Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,-2.84872E-07,-3.35065E-07,-2.30467E-07,-1.33266E-07,-6.36018E-08
0.398,-3.25867E-07,-3.06945E-07,-3.19225E-07,-1.42281E-07,-7.15033E-08
0.399,-6.08674E-07,-5.01438E-07,-5.8719E-07,-1.67165E-07,-6.30038E-08
0.4,-9.40504E-07,-3.92033E-07,-5.62533E-07,-1.73362E-07,-7.91617E-08
0.401,-4.51171E-07,-5.53824E-07,-7.17594E-07,-1.8237E-07,-1.02164E-07
0.402,-8.02394E-07,-4.98343E-07,-6.8693E-07,-2.56979E-07,-1.07807E-07
0.403,-9.67554E-07,-5.91569E-07,-5.70574E-07,-2.62562E-07,-6.90191E-08
0.404,-1.10699E-06,-6.22523E-07,-1.06223E-06,-2.21018E-07,-1.79367E-07
0.405,-7.09187E-07,-8.83662E-07,-3.43215E-07,-1.02039E-07,-1.85299E-07
0.406,-4.82566E-07,-7.43713E-07,-4.34022E-07,-1.76739E-07,-1.55935E-07
0.407,-8.74256E-07,-7.28299E-07,-1.11611E-06,-2.2962E-07,-6.51652E-08
0.408,-1.25574E-06,-8.09323E-07,-5.94764E-07,-3.92347E-07,-8.90084E-08
0.409,-1.24806E-06,-7.35328E-07,-9.02066E-07,-3.42022E-07,-1.09135E-07
0.41,-1.08019E-06,-1.135E-06,-1.36219E-06,-3.31557E-07,-3.47852E-07
0.411,-9.82688E-07,-1.40546E-06,-9.52029E-07,-3.43405E-07,-1.24101E-07
