Wavelength [um],Blue,Green,Red,NIR,Pan
0.473,0.9125,0.0002,0.0002,0.0001,0.8578
0.474,0.9134,0.0002,0.0002,0.0001,0.8577
0.475,0.9147,0.0003,0.0002,0.0001,0.8579
0.476,0.9161,0.0003,0.0002,0.0,0.8586
0.477,0.919,0.0002,0.0002,0.0,0.8611
0.478,0.9228,0.0002,0.0002,0.0001,0.8646
0.479,0.9277,0.0002,0.0002,0.0001,0.8705
0.48,0.9333,0.0002,0.0002,0.0001,0.8778
0.481,0.9389,0.0002,0.0002,0.0001,0.8847
0.482,0.9462,0.0002,0.0001,0.0001,0.8925
0.483,0.9537,0.0002,0.0001,0.0001,0.9006
0.484,0.9602,0.0003,0.0001,0.0001,0.907
0.485,0.9669,0.0004,0.0001,0.0001,0.9128
0.486,0.9733,0.0005,0.0001,0.0001,0.9173
0.487,0.9789,0.0003,0.0,0.0003,0.921
0.488,0.9831,0.0002,0.0,0.0005,0.924
0.489,0.9876,0.0002,0.0,0.0002,0.9275
0.49,0.9915,0.0002,0.0,0.0001,0.9311
0.491,0.9949,0.0002,0.0,0.0,0.934
0.492,0.9966,0.0002,0.0001,0.0,0.9368
0.493,0.9959,0.0003,0.0001,0.0,0.9384
0.494,0.9951,0.0004,0.0001,0.0,0.9395
0.495,0.9941,0.0004,0.0001,0.0,0.94
0.496,0.994,0.0003,0.0,0.0,0.9406
0.497,0.9931,0.0003,0.0,0.0,0.941
0.498,0.9947,0.0003,0.0,0.0,0.9417
0.499,0.9978,0.0005,0.0,0.0,0.942
0.5,0.9994,0.0007,0.0001,0.0,0.9413
0.501,1.0,0.001,0.0001,0.0,0.9404
0.502,0.9996,0.0016,0.0001,0.0,0.9395
0.503,0.9963,0.0026,0.0001,0.0,0.9389
0.504,0.9872,0.0042,0.0001,0.0001,0.9389
0.505,0.9645,0.0067,0.0002,0.0001,0.9399
0.506,0.9045,0.0109,0.0003,0.0001,0.9416
0.507,0.8024,0.0181,0.0003,0.0001,0.9426
0.508,0.703,0.0307,0.0003,0.0002,0.9426
0.509,0.6157,0.0531,0.0004,0.0002,0.942
0.51,0.4914,0.0917,0.0005,0.0002,0.9395
0.511,0.3594,0.1559,0.0006,0.0001,0.9368
0.512,0.2784,0.2523,0.0006,0.0001,0.9349
0.513,0.237,0.3666,0.0007,0.0001,0.9338
0.514,0.2116,0.4756,0.0007,0.0001,0.9343
0.515,0.1939,0.6039,0.0007,0.0001,0.9363
0.516,0.1818,0.7717,0.0006,0.0001,0.9391
0.517,0.1686,0.8891,0.0006,0.0001,0.9418
0.518,0.1326,0.9204,0.0006,0.0001,0.9443
0.519,0.0747,0.9278,0.0006,0.0001,0.9465
0.52,0.0334,0.9434,0.0006,0.0001,0.9475
0.521,0.0151,0.9547,0.0005,0.0001,0.9468
0.522,0.0075,0.9557,0.0004,0.0001,0.9459
0.523,0.0039,0.9539,0.0004,0.0001,0.9459
0.524,0.0022,0.9533,0.0003,0.0001,0.9448
0.525,0.0013,0.9573,0.0003,0.0001,0.9443
0.526,0.0009,0.9622,0.0003,0.0001,0.9443
0.527,0.0007,0.9628,0.0003,0.0001,0.9439
0.528,0.0005,0.961,0.0003,0.0001,0.9445
0.529,0.0005,0.9602,0.0003,0.0002,0.9446
0.53,0.0004,0.9615,0.0003,0.0002,0.9445
0.531,0.0004,0.9616,0.0003,0.0002,0.9446
0.532,0.0004,0.9593,0.0004,0.0003,0.9451
0.533,0.0003,0.9576,0.0005,0.0003,0.9457
0.534,0.0003,0.9594,0.0005,0.0003,0.947
0.535,0.0004,0.9624,0.0007,0.0003,0.9487
0.536,0.0005,0.9632,0.0008,0.0003,0.951
