Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,6.79E-06,2.25E-06,-1.83E-07,1.29E-05,4.19E-06
0.398,2.93E-06,-1.32E-06,-9.14E-07,1.02E-05,5.13E-06
0.399,2.21E-06,2.80E-06,9.54E-07,1.26E-05,2.74E-06
0.4,3.96E-06,2.41E-06,-1.13E-07,6.15E-06,7.35E-06
0.401,3.07E-06,9.04E-07,-1.79E-06,4.01E-06,1.38E-05
0.402,4.84E-06,2.71E-06,-1.29E-06,3.47E-06,3.39E-05
0.403,7.16E-06,-3.16E-06,-1.39E-06,7.03E-06,3.73E-05
0.404,1.87E-05,1.52E-06,-8.73E-07,1.53E-05,5.41E-05
0.405,3.28E-05,-2.61E-06,-2.89E-06,2.53E-05,8.90E-05
0.406,3.52E-05,-1.58E-06,-4.41E-06,2.26E-05,5.68E-05
0.407,4.05E-05,1.67E-06,2.70E-07,2.64E-05,6.72E-05
0.408,1.96E-05,-5.45E-06,-3.37E-06,3.20E-05,1.05E-04
0.409,2.51E-05,-1.30E-06,-3.86E-06,3.91E-05,1.32E-04
0.41,4.65E-05,2.89E-06,3.23E-06,3.16E-05,1.30E-04
0.411,7.80E-05,-5.63E-06,-5.63E-06,3.88E-05,1.41E-04
0.412,1.31E-04,3.75E-06,4.24E-06,3.49E-05,1.42E-04
0.413,1.47E-04,1.85E-06,1.36E-06,1.35E-05,1.11E-04
0.414,1.60E-04,2.44E-06,2.16E-06,-1.87E-06,7.36E-05
