Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,4.70E-06,-8.56E-08,-6.90E-07,8.03E-06,1.34E-06
0.398,3.15E-06,-2.08E-07,-1.08E-06,8.02E-06,3.55E-06
0.399,2.93E-06,1.99E-06,1.19E-06,1.12E-05,3.72E-06
0.4,3.61E-06,2.59E-06,9.96E-08,8.04E-06,8.60E-06
0.401,4.67E-06,2.13E-06,-2.50E-06,3.66E-06,1.95E-05
0.402,6.46E-06,4.14E-06,-1.50E-06,4.35E-06,3.79E-05
0.403,1.12E-05,-7.05E-07,-7.69E-07,7.50E-06,3.78E-05
0.404,1.57E-05,-3.05E-06,-3.45E-06,1.15E-05,4.74E-05
0.405,2.73E-05,-4.69E-06,-2.74E-06,1.96E-05,6.87E-05
0.406,2.87E-05,-2.37E-07,2.05E-07,1.71E-05,4.45E-05
0.407,2.50E-05,1.52E-06,-1.71E-06,2.02E-05,4.76E-05
0.408,9.75E-06,-4.32E-06,-2.61E-06,2.60E-05,6.97E-05
0.409,1.86E-05,-3.86E-06,-3.58E-06,2.49E-05,9.05E-05
0.41,3.24E-05,7.88E-07,2.63E-07,2.16E-05,9.35E-05
0.411,4.96E-05,1.85E-06,-3.15E-06,2.66E-05,1.04E-04
0.412,9.57E-05,5.57E-06,1.92E-06,2.51E-05,1.02E-04
0.413,1.09E-04,4.41E-06,9.28E-07,1.05E-05,8.10E-05
0.414,1.24E-04,5.07E-06,-3.56E-06,5.28E-07,5.55E-05
