Wavelength [um],Blue,Green,Red,NIR,Pan
0.35,0,0,0,0,0
0.351,0,0,0,0,0
0.352,0,0,0,0,0
0.353,0,0,0,0,0
0.354,0,0,0,0,0
0.355,0,0,0,0,0
0.356,0,0,0,0,0
0.357,0,0,0,0,0
0.358,0,0,0,0,0
0.359,0,0,0,0,0
0.36,0,0,0,0,0
0.361,0,0,0,0,0
0.362,0,0,0,0,0
0.363,0,0,0,0,0
0.364,0,0,0,0,0
0.365,0,0,0,0,0
0.366,0,0,0,0,0
0.367,0,0,0,0,0
0.368,0,0,0,0,0
0.369,0,0,0,0,0
0.37,0,0,0,0,0
0.371,0,0,0,0,0
0.372,0,0,0,0,0
0.373,0,0,0,0,0
0.374,0,0,0,0,0
0.375,0,0,0,0,0
0.376,0,0,0,0,0
0.377,0,0,0,0,0
0.378,0,0,0,0,0
0.379,0,0,0,0,0
0.38,0,0,0,0,0
0.381,0,0,0,0,0
0.382,0,0,0,0,0
0.383,0,0,0,0,0
0.384,0,0,0,0,0
0.385,0,0,0,0,0
0.386,0,0,0,0,0
0.387,0,0,0,0,0
0.388,0,0,0,0,0
0.389,0,0,0,0,0
0.39,0,0,0,0,0
0.391,0,0,0,0,0
0.392,0,0,0,0,0
0.393,0,0,0,0,0
0.394,0,0,0,0,0
0.395,0,0,0,0,0
0.396,0,0,0,0,0
0.397,6.44769E-08,5.46215E-06,2.29037E-08,1.2335E-07,7.39622E-07
0.398,2.87653E-08,5.2301E-06,1.29968E-08,0,1.41619E-07
0.399,1.8381E-08,5.34349E-06,7.00829E-08,1.90125E-08,1.10796E-07
0.4,6.76634E-09,8.97132E-06,1.266E-07,3.79781E-09,1.10044E-07
0.401,7.3862E-08,5.54346E-06,0,6.03568E-08,1.91822E-07
0.402,3.66571E-07,1.40947E-05,2.21301E-08,4.8012E-07,5.39598E-07
0.403,1.41728E-06,1.9516E-05,1.32662E-07,1.12246E-06,3.06216E-06
0.404,7.98638E-07,1.141E-05,5.5277E-07,3.95568E-07,3.34299E-06
0.405,5.84004E-07,4.98077E-06,1.17225E-07,9.79761E-08,8.93407E-07
0.406,7.84252E-07,6.90711E-06,1.53824E-08,1.51136E-07,5.64421E-07
0.407,3.57417E-07,1.14983E-05,1.90204E-08,7.76727E-07,5.65066E-07
0.408,2.90504E-07,1.81435E-05,2.33202E-08,6.67684E-06,1.07811E-06
0.409,9.36834E-07,1.65934E-05,4.63384E-08,6.55145E-06,3.46215E-06
0.41,3.02496E-06,2.09715E-05,3.65416E-08,3.95225E-06,1.38878E-05
0.411,1.81073E-06,1.78049E-05,5.71379E-08,9.8683E-07,1.22015E-05
0.412,6.42639E-07,1.93392E-05,1.02266E-07,3.38951E-07,4.5422E-06
0.413,3.41616E-07,2.30836E-05,9.26211E-06,3.49802E-07,2.71298E-06
